config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
curriculum_mode_coordinate,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.5896069963292692,-0.757106996329269,134,0.0067,155.83058589999928,63.495000000000005,0.0,0.6966690290574061,,,0.53225,0.44235,0.0,3616,0.0,,10,,,0,520000
curriculum_mode_coordinate,1,500000,20000,5,512,0.98,,5000,500,500,20,-0.20636484737950794,-0.3913648473795078,148,0.0074,164.14585760000045,78.58500000000001,0.0,0.6916078131959025,,,0.3695,0.5435,0.0,3097,0.0,,10,,,0,520000
curriculum_mode_coordinate,2,500000,20000,5,512,0.98,,5000,500,500,20,-0.2806060364810507,-0.5318560364810504,201,0.01005,164.56359800000064,93.91000000000001,0.0,0.7436375252901715,,,0.06855,0.69835,0.0,58,0.0,,10,,,0,520000
curriculum_mode_coordinate,3,500000,20000,5,512,0.98,,5000,500,500,20,-0.2787764939816582,-0.46127649398165815,146,0.0073,158.5497833999998,92.365,0.015,0.9428354896335192,0.0,0.0,0.0873,0.87085,0.0,358,0.0,,10,,,0,520000
curriculum_mode_coordinate,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.8426961885363667,-1.0076961885363667,132,0.0066,153.45487499999945,95.685,0.0,0.9750222082876104,,,0.06585,0.93295,0.0,322,0.0,,10,,,0,520000
curriculum_mode_disabled,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.11751672394249824,-1.3362667239424972,975,0.04875,161.55056239999976,4.835,24.529999999999998,0.6514994829369183,0.6585813289849164,0.6280065226253567,0.3074,0.0315,0.16155,76,0.47368421052631576,10.0,10,1.0,0.9444444444444444,0,520000
curriculum_mode_disabled,1,500000,20000,5,512,0.98,,5000,500,500,20,-0.03040025301136879,-0.29290025301136857,210,0.0105,162.08513370000037,72.47,9.254999999999999,0.7468607699737823,0.31982712047541867,0.2739059967585089,0.2447,0.54125,0.0296,117,0.9487179487179487,11.0,10,0.9090909090909091,0.6756756756756757,0,520000
curriculum_mode_disabled,2,500000,20000,5,512,0.98,,5000,500,500,20,0.5655168262575002,0.38051682625750044,148,0.0074,164.71267760000046,52.464999999999996,6.944999999999999,0.619079386257505,0.7566594672426206,0.7566594672426206,0.50225,0.3248,0.05255,1675,0.16298507462686568,10.0,10,1.0,0.989010989010989,0,520000
curriculum_mode_disabled,3,500000,20000,5,512,0.98,,5000,500,500,20,0.5012387558624145,0.4787387558624145,18,0.0009,165.65529270000116,63.44499999999999,11.485,0.9643785956340137,0.6856769699608185,0.1998258598171528,0.2754,0.61185,0.07875,387,0.6356589147286822,10.0,10,1.0,1.0,0,520000
curriculum_mode_disabled,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.6896046386657019,-0.9371046386657017,198,0.0099,165.5237376999994,90.435,0.19,0.957262121966053,0.8421052631578947,0.631578947368421,0.12905,0.8657,0.0016,548,0.0,,10,,,0,520000
