config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
under_1__over_0p1,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.5329814039030445,-0.5329814039030445,0,0.0,164.14103139999497,71.53500000000001,21.58,0.9944782274411127,0.3076923076923077,0.013206672845227063,0.0765,0.7114,0.0664,77,1.0,10.0,10,1.0,1.0,0,520000
under_1__over_0p1,1,500000,20000,5,512,0.98,,5000,500,500,20,0.16803981378512048,-0.3619601862148791,424,0.0212,162.79973450000398,25.174999999999997,28.015,0.4945382323733863,0.7606639300374799,0.7556666071747278,0.64735,0.1245,0.2131,2518,0.05559968228752978,10.0,10,1.0,0.9357142857142857,0,520000
under_1__over_0p1,2,500000,20000,5,512,0.98,,5000,500,500,20,-0.15603524829671228,-0.33478524829671213,143,0.00715,163.0716825999989,23.93,33.385,0.5873380693689929,0.9077429983525536,0.668413958364535,0.55245,0.14055,0.30305,1950,0.13897435897435897,10.0,10,1.0,0.996309963099631,0,520000
under_1__over_0p1,3,500000,20000,5,512,0.98,,5000,500,500,20,0.10213456838513264,-0.10161543161486718,163,0.00815,163.56014460000006,81.95,0.0,0.776876143990238,,,0.1747,0.63665,0.0,689,0.0,,10,,,0,520000
under_1__over_0p1,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.5916042198658082,-0.7703542198658081,143,0.00715,162.49672220000502,95.645,0.0,0.99252443933295,,,0.0329,0.9493,0.0,3,0.0,,10,,,0,520000
under_1__over_0p2,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.1617607175042466,-0.33051071750424643,135,0.00675,159.19146419999743,65.095,22.035,0.7871572317382287,0.9775357385976855,0.9639210347174949,0.1264,0.5124,0.2154,167,0.3413173652694611,12.0,10,0.8333333333333334,0.47368421052631576,0,520000
under_1__over_0p2,1,500000,20000,5,512,0.98,,5000,500,500,20,-0.18962489285593326,-0.513374892855933,259,0.01295,161.13297729999613,60.33,8.33,0.6155312448201559,0.9165666266506602,0.687875150060024,0.5448,0.37135,0.07635,4549,0.0,,10,,,0,520000
under_1__over_0p2,2,500000,20000,5,512,0.98,,5000,500,500,20,-0.013095013998747806,-0.6955950139987472,546,0.0273,155.44212649999827,17.405,45.434999999999995,0.8813559322033898,0.9171343677781446,0.9166941784967536,0.4278,0.1534,0.4167,391,0.3375959079283887,10.0,10,1.0,0.8181818181818182,0,520000
under_1__over_0p2,3,500000,20000,5,512,0.98,,5000,500,500,20,-0.858253733950031,-0.8645037339500308,5,0.00025,156.15748349999922,78.705,15.82,0.9970776951909027,0.9462705436156763,0.899810366624526,0.06555,0.78475,0.1497,46,1.0,10.0,10,1.0,1.0,0,520000
under_1__over_0p2,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.7655652297213232,-0.8030652297213232,30,0.0015,155.164844299994,49.17,26.700000000000003,0.8070978238763473,0.5653558052434456,0.06610486891385768,0.3935,0.39685,0.15095,1889,0.04923239809422975,10.0,10,1.0,1.0,0,520000
under_1__over_0p3,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.11751672394249824,-1.3362667239424972,975,0.04875,162.0514220000041,4.835,24.529999999999998,0.6514994829369183,0.6585813289849164,0.6280065226253567,0.3074,0.0315,0.16155,76,0.47368421052631576,10.0,10,1.0,0.9444444444444444,0,520000
under_1__over_0p3,1,500000,20000,5,512,0.98,,5000,500,500,20,-0.03040025301136879,-0.29290025301136857,210,0.0105,164.2389750000002,72.47,9.254999999999999,0.7468607699737823,0.31982712047541867,0.2739059967585089,0.2447,0.54125,0.0296,117,0.9487179487179487,11.0,10,0.9090909090909091,0.6756756756756757,0,520000
under_1__over_0p3,2,500000,20000,5,512,0.98,,5000,500,500,20,0.5655168262575002,0.38051682625750044,148,0.0074,153.4694079999972,52.464999999999996,6.944999999999999,0.619079386257505,0.7566594672426206,0.7566594672426206,0.50225,0.3248,0.05255,1675,0.16298507462686568,10.0,10,1.0,0.989010989010989,0,520000
