config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,0,500000,20000,5,512,0.99,,50000,500,500,20,0.9322494745111931,0.9297494745111932,1,5e-05,196.67554720000044,37.845,7.425,0.7516184436517374,0.3501683501683502,0.34545454545454546,0.6802,0.28445,0.026,1879,0.1660457690260777,11.0,10,0.9090909090909091,0.7980769230769231,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,1,500000,20000,5,512,0.99,,50000,500,500,20,0.447767026689269,0.447767026689269,0,0.0,193.14728069999546,90.275,2.045,0.9858764885073387,0.8361858190709046,0.6356968215158925,0.0863,0.89,0.0171,125,0.528,10.0,10,1.0,1.0,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,2,500000,20000,5,512,0.99,,50000,500,500,20,0.6452399844625079,0.3852399844625081,104,0.0052,202.08685090000654,38.135000000000005,0.065,0.7550806345876492,0.3076923076923077,0.0,0.7103,0.288,0.00025,1862,0.0026852846401718583,14.0,10,0.7142857142857143,0.2,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,3,500000,20000,5,512,0.99,,50000,500,500,20,0.9287139789300672,0.9237139789300672,2,0.0001,192.8536996000039,64.305,4.35,0.7467537516522821,0.7471264367816092,0.7367816091954023,0.4199,0.4802,0.0325,1924,0.10810810810810811,10.0,10,1.0,0.9759615384615384,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,4,500000,20000,5,512,0.99,,50000,500,500,20,0.927661299840261,0.927661299840261,0,0.0,192.94277690000308,66.67,5.1450000000000005,0.47615119244037796,0.6987366375121478,0.3138969873663751,0.19985,0.31745,0.03595,201,0.9751243781094527,10.0,10,1.0,1.0,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,5,500000,20000,5,512,0.99,,50000,500,500,20,0.9245415183612203,0.9245415183612203,0,0.0,192.80577740000444,51.49,10.45,0.8882307244125073,0.4722488038277512,0.025358851674641147,0.3803,0.45735,0.04935,374,0.9278074866310161,10.0,10,1.0,1.0,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,6,500000,20000,5,512,0.99,,50000,500,500,20,0.9406793043299428,0.9406793043299428,0,0.0,193.00466629999573,59.99,3.5749999999999997,0.6352725454242374,0.8083916083916084,0.7314685314685314,0.54545,0.3811,0.0289,3962,0.034073700151438666,10.0,10,1.0,0.9925925925925926,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,7,500000,20000,5,512,0.99,,50000,500,500,20,0.5348045711601856,0.33480457116018586,80,0.004,193.22630980000395,91.325,0.165,0.8556255132767588,0.696969696969697,0.6666666666666666,0.1132,0.7814,0.0012,582,0.0,,10,,,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,8,500000,20000,5,512,0.99,,50000,500,500,20,0.9523390244996259,0.9523390244996259,0,0.0,192.7222569000005,56.115,7.779999999999999,0.9196293326205115,0.7583547557840618,0.06812339331619537,0.40385,0.51605,0.059,497,0.5150905432595574,12.0,10,0.8333333333333334,0.265625,0,520000
noisy__buf_50k__beta_0p1__novelty_rewards_T__n_step_10__over_0p02__under_0p5,9,500000,20000,5,512,0.99,,50000,500,500,20,0.8647082716658296,0.8647082716658296,0,0.0,192.97980860000098,64.1,9.354999999999999,0.4358034321372855,0.6830571886691609,0.21859967931587387,0.2399,0.27935,0.0639,303,0.66996699669967,12.0,10,0.8333333333333334,0.2857142857142857,0,520000
