config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
comfort_surface_exponential__over_0p1,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.5329814039030445,-0.5329814039030445,0,0.0,157.71463860000222,71.53500000000001,21.58,0.9944782274411127,0.3076923076923077,0.013206672845227063,0.0765,0.7114,0.0664,77,1.0,10.0,10,1.0,1.0,0,520000
comfort_surface_exponential__over_0p1,1,500000,20000,5,512,0.98,,5000,500,500,20,0.16803981378512048,-0.3619601862148791,424,0.0212,156.6838004999954,25.174999999999997,28.015,0.4945382323733863,0.7606639300374799,0.7556666071747278,0.64735,0.1245,0.2131,2518,0.05559968228752978,10.0,10,1.0,0.9357142857142857,0,520000
comfort_surface_exponential__over_0p1,2,500000,20000,5,512,0.98,,5000,500,500,20,-0.15603524829671228,-0.33478524829671213,143,0.00715,157.4408997999999,23.93,33.385,0.5873380693689929,0.9077429983525536,0.668413958364535,0.55245,0.14055,0.30305,1950,0.13897435897435897,10.0,10,1.0,0.996309963099631,0,520000
comfort_surface_exponential__over_0p1,3,500000,20000,5,512,0.98,,5000,500,500,20,0.10213456838513264,-0.10161543161486718,163,0.00815,164.7777600000045,81.95,0.0,0.776876143990238,,,0.1747,0.63665,0.0,689,0.0,,10,,,0,520000
comfort_surface_exponential__over_0p1,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.5916042198658082,-0.7703542198658081,143,0.00715,158.89825139999448,95.645,0.0,0.99252443933295,,,0.0329,0.9493,0.0,3,0.0,,10,,,0,520000
comfort_surface_exponential__over_0p3,0,500000,20000,5,512,0.98,,5000,500,500,20,-0.11751672394249824,-1.3362667239424972,975,0.04875,166.66397249999864,4.835,24.529999999999998,0.6514994829369183,0.6585813289849164,0.6280065226253567,0.3074,0.0315,0.16155,76,0.47368421052631576,10.0,10,1.0,0.9444444444444444,0,520000
comfort_surface_exponential__over_0p3,1,500000,20000,5,512,0.98,,5000,500,500,20,-0.03040025301136879,-0.29290025301136857,210,0.0105,157.12844290000066,72.47,9.254999999999999,0.7468607699737823,0.31982712047541867,0.2739059967585089,0.2447,0.54125,0.0296,117,0.9487179487179487,11.0,10,0.9090909090909091,0.6756756756756757,0,520000
comfort_surface_exponential__over_0p3,2,500000,20000,5,512,0.98,,5000,500,500,20,0.5655168262575002,0.38051682625750044,148,0.0074,158.5551204000003,52.464999999999996,6.944999999999999,0.619079386257505,0.7566594672426206,0.7566594672426206,0.50225,0.3248,0.05255,1675,0.16298507462686568,10.0,10,1.0,0.989010989010989,0,520000
comfort_surface_exponential__over_0p3,3,500000,20000,5,512,0.98,,5000,500,500,20,0.5012387558624145,0.4787387558624145,18,0.0009,161.6638380000004,63.44499999999999,11.485,0.9643785956340137,0.6856769699608185,0.1998258598171528,0.2754,0.61185,0.07875,387,0.6356589147286822,10.0,10,1.0,1.0,0,520000
comfort_surface_exponential__over_0p3,4,500000,20000,5,512,0.98,,5000,500,500,20,-0.6896046386657019,-0.9371046386657017,198,0.0099,157.05305230000522,90.435,0.19,0.957262121966053,0.8421052631578947,0.631578947368421,0.12905,0.8657,0.0016,548,0.0,,10,,,0,520000
comfort_surface_quadratic__over_0p1,0,500000,20000,5,512,0.98,,5000,500,500,20,0.5255316286503187,-0.8394683713496804,1092,0.0546,158.30337889999646,0.0,9.42,,0.6263269639065817,0.46337579617834396,0.41745,0.0,0.059,0,,,10,,,0,520000
comfort_surface_quadratic__over_0p1,1,500000,20000,5,512,0.98,,5000,500,500,20,0.5865266804114192,0.3190266804114194,214,0.0107,156.73561930000142,58.775,12.445,0.913908974904296,0.5761349939734833,0.05504218561671354,0.3573,0.53715,0.0717,622,0.33440514469453375,10.0,10,1.0,1.0,0,520000
comfort_surface_quadratic__over_0p3,0,500000,20000,5,512,0.98,,5000,500,500,20,0.42869948320512347,-0.4525505167948758,705,0.03525,162.03861039999902,13.364999999999998,57.58,0.8316498316498316,0.7263806877387982,0.22603334491142757,0.3784,0.11115,0.41825,256,0.42578125,10.0,10,1.0,1.0,0,520000
comfort_surface_quadratic__over_0p3,1,500000,20000,5,512,0.98,,5000,500,500,20,0.49822297587100145,0.2232229758710017,220,0.011,159.89453659999708,65.275,0.0,0.7184220605132133,,,0.4703,0.46895,0.0,3167,0.0,,10,,,0,520000
comfort_surface_quadratic__over_0p3,2,500000,20000,5,512,0.98,,5000,500,500,20,0.38670255532378106,0.0629525553237813,259,0.01295,156.21495029999642,31.935000000000002,33.57,0.6303428839830907,0.9289544235924933,0.9247840333631219,0.42855,0.2013,0.31185,1176,0.13860544217687074,10.0,10,1.0,0.5644171779141104,0,520000
comfort_surface_quadratic__over_0p3,3,500000,20000,5,512,0.98,,5000,500,500,20,0.5999159275948764,-0.2263340724051228,661,0.03305,153.08611369999562,27.250000000000004,0.08,0.8897247706422018,0.4375,0.0,0.6927,0.24245,0.00035,334,0.020958083832335328,11.0,10,0.9090909090909091,1.0,0,520000
comfort_surface_quadratic__over_0p3,4,500000,20000,5,512,0.98,,5000,500,500,20,0.577275053611826,0.3785250536118261,159,0.00795,153.9311516999951,60.36,0.0,0.844599072233267,,,0.35015,0.5098,0.0,1810,0.0,,10,,,0,520000
