config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
death_penalty_k_0p5__over_0p02__under_0p5,0,500000,20000,5,512,0.98,,5000,500,500,20,0.44100391732832483,0.31850391732832495,98,0.0049,145.1025537999958,78.63,0.315,0.4393361312476154,0.9682539682539683,0.015873015873015872,0.28585,0.34545,0.00305,2391,0.0,,10,,,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,1,500000,20000,5,512,0.98,,5000,500,500,20,0.3890383722470811,0.19153837224708126,158,0.0079,145.85013489999983,76.18,14.180000000000001,0.7610265161459701,0.9682651622002821,0.941114245416079,0.05395,0.57975,0.13735,28,0.0,,10,,,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,2,500000,20000,5,512,0.98,,5000,500,500,20,0.8712333929711452,0.8699833929711452,1,5e-05,146.21966500000417,52.16499999999999,6.0,0.5272692418288124,0.5008333333333334,0.5008333333333334,0.59285,0.27505,0.03005,3508,0.04817559863169897,10.0,10,1.0,0.9585798816568047,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,3,500000,20000,5,512,0.98,,5000,500,500,20,0.3962941940278586,0.3125441940278587,67,0.00335,146.64737599999353,58.045,1.34,0.969247997243518,0.07835820895522388,0.0,0.3141,0.5626,0.00105,305,0.18032786885245902,10.0,10,1.0,0.9818181818181818,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,4,500000,20000,5,512,0.98,,5000,500,500,20,0.9103455749825543,0.9103455749825543,0,0.0,145.9615421999988,30.175,33.825,0.9337199668599834,0.10879526977087953,0.007243163340724316,0.4,0.28175,0.0368,400,1.0,10.0,10,1.0,1.0,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,5,500000,20000,5,512,0.98,,5000,500,500,20,0.43456899384837033,0.3158189938483704,95,0.00475,146.1802336999972,82.515,0.0,0.5803187299278919,,,0.26795,0.47885,0.0,2223,0.0,,10,,,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,6,500000,20000,5,512,0.98,,5000,500,500,20,0.7357753736925794,0.6645253736925794,57,0.00285,146.42243299999973,56.28999999999999,7.295,0.7527091845798544,0.8279643591501028,0.3008910212474297,0.45925,0.42375,0.0604,2574,0.03613053613053613,10.0,10,1.0,0.989247311827957,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,7,500000,20000,5,512,0.98,,5000,500,500,20,0.5479663478402728,0.4567163478402728,73,0.00365,146.09350739999354,92.285,0.0,0.9386682559462535,,,0.05615,0.86625,0.0,5,0.0,,10,,,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,8,500000,20000,5,512,0.98,,5000,500,500,20,0.7516636280991983,0.6204136280991984,105,0.00525,157.21058660000563,67.13,3.6350000000000002,0.42469834649188143,0.2077028885832187,0.19944979367262725,0.3987,0.28515,0.00755,1551,0.04642166344294004,26.0,10,0.38461538461538464,0.0,0,520000
death_penalty_k_0p5__over_0p02__under_0p5,9,500000,20000,5,512,0.98,,5000,500,500,20,0.9034981337583602,0.8959981337583602,6,0.0003,154.5762595999986,31.624999999999996,13.465,0.8999209486166008,0.47716301522465654,0.08132194578536947,0.6098,0.2846,0.06425,632,0.4810126582278481,10.0,10,1.0,0.9967105263157895,0,520000
