config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
g_98__n_step_1,0,500000,20000,5,512,0.98,,5000,500,500,20,0.44100391732832483,0.31850391732832495,98,0.0049,157.383024499999,78.63,0.315,0.4393361312476154,0.9682539682539683,0.015873015873015872,0.28585,0.34545,0.00305,2391,0.0,,10,,,0,520000
g_98__n_step_1,1,500000,20000,5,512,0.98,,5000,500,500,20,0.3890383722470811,0.19153837224708126,158,0.0079,161.15868970000884,76.18,14.180000000000001,0.7610265161459701,0.9682651622002821,0.941114245416079,0.05395,0.57975,0.13735,28,0.0,,10,,,0,520000
g_98__n_step_1,2,500000,20000,5,512,0.98,,5000,500,500,20,0.8712333929711452,0.8699833929711452,1,5e-05,157.80498929999885,52.16499999999999,6.0,0.5272692418288124,0.5008333333333334,0.5008333333333334,0.59285,0.27505,0.03005,3508,0.04817559863169897,10.0,10,1.0,0.9585798816568047,0,520000
g_98__n_step_1,3,500000,20000,5,512,0.98,,5000,500,500,20,0.3962941940278586,0.3125441940278587,67,0.00335,157.10352620000776,58.045,1.34,0.969247997243518,0.07835820895522388,0.0,0.3141,0.5626,0.00105,305,0.18032786885245902,10.0,10,1.0,0.9818181818181818,0,520000
g_98__n_step_1,4,500000,20000,5,512,0.98,,5000,500,500,20,0.9103455749825543,0.9103455749825543,0,0.0,161.38073069999518,30.175,33.825,0.9337199668599834,0.10879526977087953,0.007243163340724316,0.4,0.28175,0.0368,400,1.0,10.0,10,1.0,1.0,0,520000
g_98__n_step_10,0,500000,20000,5,512,0.98,,5000,500,500,20,0.6293888359512521,0.5343888359512521,76,0.0038,172.2904811999906,74.39,0.24,0.8356633956176905,0.7291666666666666,0.6458333333333334,0.32015,0.62165,0.0018,1938,0.0,,10,,,0,520000
g_98__n_step_10,1,500000,20000,5,512,0.98,,5000,500,500,20,0.7893500141332702,0.7543500141332703,28,0.0014,171.64535399999295,42.79,8.709999999999999,0.8796447768170134,0.8576349024110218,0.12973593570608496,0.4639,0.3764,0.0747,605,0.21983471074380165,13.0,10,0.7692307692307693,0.15789473684210525,0,520000
g_98__n_step_10,2,500000,20000,5,512,0.98,,5000,500,500,20,0.7898157903925356,0.7648157903925356,20,0.001,169.6783213000017,66.03999999999999,4.38,0.7936856450635978,0.8264840182648402,0.7865296803652968,0.347,0.52415,0.0362,1665,0.06546546546546547,12.0,10,0.8333333333333334,0.45871559633027525,0,520000
g_98__n_step_10,3,500000,20000,5,512,0.98,,5000,500,500,20,0.5533467069866439,0.38334670698664414,136,0.0068,167.78872780001257,63.285000000000004,1.28,0.7934739669747966,0.20703125,0.20703125,0.4265,0.5022,0.00265,2259,0.0,,10,,,0,520000
g_98__n_step_10,4,500000,20000,5,512,0.98,,5000,500,500,20,0.674565360938002,0.4608153609380021,171,0.00855,172.71752360000391,28.465,3.88,0.8136307746355173,0.7229381443298969,0.6726804123711341,0.65785,0.23175,0.02805,946,0.07822410147991543,10.0,10,1.0,0.972972972972973,0,520000
g_98__n_step_20,0,500000,20000,5,512,0.98,,5000,500,500,20,0.9224684040127576,0.9062184040127577,13,0.00065,192.66201460000593,40.235,5.165,0.7293401267553126,0.6979670861568248,0.39399806389157793,0.6376,0.29345,0.03605,1655,0.11419939577039274,12.0,10,0.8333333333333334,0.015873015873015872,0,520000
g_98__n_step_20,1,500000,20000,5,512,0.98,,5000,500,500,20,0.5395073424860597,0.4257573424860597,91,0.00455,177.1539713999955,68.185,1.27,0.7587445919190438,0.7007874015748031,0.5787401574803149,0.3382,0.51735,0.00895,1694,0.02538370720188902,10.0,10,1.0,0.7441860465116279,0,520000
g_98__n_step_20,2,500000,20000,5,512,0.98,,5000,500,500,20,0.5806065129739788,0.46810651297397887,90,0.0045,176.74097669999173,64.185,0.02,0.626080860014022,0.5,0.0,0.46375,0.40195,0.0001,3064,0.0,,10,,,0,520000
g_98__n_step_20,3,500000,20000,5,512,0.98,,5000,500,500,20,0.5421682813171165,0.4159182813171166,101,0.00505,171.64494139999442,64.87,0.055,0.6291043625712964,0.6363636363636364,0.6363636363636364,0.4309,0.40815,0.00035,2250,0.0,,10,,,0,520000
g_98__n_step_20,4,500000,20000,5,512,0.98,,5000,500,500,20,0.441254277024045,0.3050042770240452,109,0.00545,170.94613880000543,69.61500000000001,0.0,0.8007613301730949,,,0.34225,0.5575,0.0,1771,0.0,,10,,,0,520000
