config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
beta_0p05,0,500000,20000,5,512,0.99,,5000,500,500,20,0.8969642317874512,0.8944642317874512,1,5e-05,192.95417590000034,42.305,5.805,0.6799432691171257,0.6692506459948321,0.6330749354005168,0.6662,0.28765,0.03885,2703,0.09581945985941547,10.0,10,1.0,0.6756756756756757,0,520000
beta_0p05,1,500000,20000,5,512,0.99,,5000,500,500,20,0.6293998589464088,0.49939985894640887,52,0.0026,194.1219575999994,61.71,1.97,0.812996272889321,0.8096446700507615,0.5761421319796954,0.4548,0.5017,0.01595,2079,0.03222703222703223,14.0,10,0.7142857142857143,0.16417910447761194,0,520000
beta_0p05,2,500000,20000,5,512,0.99,,5000,500,500,20,0.8782167220815481,0.8782167220815481,0,0.0,189.82554749999963,48.825,4.695,0.8058371735791091,0.5580404685835996,0.5580404685835996,0.45665,0.39345,0.0262,949,0.17386722866174922,10.0,10,1.0,0.9757575757575757,0,520000
beta_0p05,3,500000,20000,5,512,0.99,,5000,500,500,20,0.931196062672394,0.923696062672394,3,0.00015,186.9210237999996,62.480000000000004,4.45,0.6157170294494239,0.702247191011236,0.48314606741573035,0.38985,0.3847,0.03125,1468,0.13283378746594005,10.0,10,1.0,0.9230769230769231,0,520000
beta_0p05,4,500000,20000,5,512,0.99,,5000,500,500,20,0.8810641948568858,0.8510641948568859,12,0.0006,186.00200320000022,46.96,6.815,0.8005749574105622,0.6456346294937637,0.05355832721936904,0.5734,0.37595,0.044,1830,0.1721311475409836,10.0,10,1.0,0.9587301587301588,0,520000
beta_0p05,5,500000,20000,5,512,0.99,,5000,500,500,20,0.5542099788360246,0.3067099788360249,99,0.00495,187.03788850000092,48.635,0.09,0.6313354580034954,0.5,0.4444444444444444,0.56605,0.3071,0.00045,2096,0.0033396946564885495,10.0,10,1.0,1.0,0,520000
beta_0p05,6,500000,20000,5,512,0.99,,5000,500,500,20,0.9163164055725469,0.9163164055725469,0,0.0,187.23461560000032,51.33,3.82,0.7283265147087473,0.6348167539267016,0.48429319371727747,0.53255,0.37385,0.02425,2658,0.07223476297968397,10.0,10,1.0,0.8125,0,520000
beta_0p05,7,500000,20000,5,512,0.99,,5000,500,500,20,0.501481207639498,0.3864812076394981,46,0.0023,187.74707730000046,74.31,2.5250000000000004,0.9279370205894227,0.6495049504950495,0.39603960396039606,0.25775,0.68955,0.0164,964,0.07468879668049792,12.0,10,0.8333333333333334,0.4027777777777778,0,520000
beta_0p05,8,500000,20000,5,512,0.99,,5000,500,500,20,0.6101089056421838,0.43760890564218397,69,0.00345,186.92007230000127,81.0,2.83,0.5938271604938271,0.8480565371024735,0.657243816254417,0.1928,0.481,0.024,880,0.04659090909090909,10.0,10,1.0,0.975609756097561,0,520000
beta_0p05,9,500000,20000,5,512,0.99,,5000,500,500,20,0.9493640746684697,0.9493640746684697,0,0.0,187.18588729999829,79.78,2.8049999999999997,0.9681624467285034,0.6559714795008913,0.5989304812834224,0.1995,0.7724,0.0184,333,0.4774774774774775,10.0,10,1.0,0.9811320754716981,0,520000
beta_0p05,10,500000,20000,5,512,0.99,,5000,500,500,20,0.8731742689069506,0.7881742689069506,34,0.0017,187.63196219999918,37.53,5.37,0.5933919531041834,0.5623836126629422,0.4702048417132216,0.62655,0.2227,0.0302,1603,0.15595757953836556,10.0,10,1.0,0.844,0,520000
beta_0p05,11,500000,20000,5,512,0.99,,5000,500,500,20,0.5047418960603686,0.20224189606036877,121,0.00605,186.653929600001,86.24000000000001,0.025,0.8839285714285714,0.0,0.0,0.15945,0.7623,0.0,645,0.0,,10,,,0,520000
