config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
novelty_rewards_F__noisy,0,500000,20000,5,512,0.99,,5000,500,500,20,0.7743145593540539,0.7743145593540539,0,0.0,206.4707002,72.15,5.545,0.944005544005544,0.5266005410279531,0.23534715960324618,0.27445,0.6811,0.0292,712,0.25702247191011235,10.0,10,1.0,0.9672131147540983,0,520000
novelty_rewards_F__noisy,1,500000,20000,5,512,0.99,,5000,500,500,20,0.9411788559390557,0.9261788559390558,6,0.0003,199.6381841999996,57.599999999999994,3.5000000000000004,0.47734375,0.74,0.6471428571428571,0.53635,0.27495,0.0259,2938,0.06126616746085772,10.0,10,1.0,0.9388888888888889,0,520000
novelty_rewards_F__noisy,2,500000,20000,5,512,0.99,,5000,500,500,20,0.8472256061660842,0.8447256061660843,1,5e-05,198.21245899999985,53.54,3.4250000000000003,0.7480388494583489,0.5678832116788322,0.5678832116788322,0.50825,0.4005,0.01945,1273,0.15003927729772193,16.0,10,0.625,0.3769633507853403,0,520000
novelty_rewards_F__noisy,3,500000,20000,5,512,0.99,,5000,500,500,20,0.7974397949136476,0.6749397949136478,49,0.00245,198.8336164000002,71.135,3.7350000000000003,0.7779574049342799,0.6813922356091031,0.6706827309236948,0.3359,0.55345,0.02545,1694,0.0690672963400236,13.0,10,0.7692307692307693,0.0,0,520000
novelty_rewards_F__noisy,4,500000,20000,5,512,0.99,,5000,500,500,20,0.9341459721636688,0.9041459721636688,12,0.0006,199.1279526000003,60.175,3.9,0.579725799750727,0.6615384615384615,0.44871794871794873,0.3888,0.34885,0.0258,984,0.14532520325203252,11.0,10,0.9090909090909091,0.5734265734265734,0,520000
novelty_rewards_F__vanilla,0,500000,20000,5,512,0.99,,5000,500,500,20,0.9308968918711816,0.9308968918711816,0,0.0,170.25226729999986,44.59,5.035,0.6540704193765419,0.7636544190665343,0.602780536246276,0.6356,0.29165,0.03845,2829,0.08059384941675504,13.0,10,0.7692307692307693,0.08771929824561403,0,520000
novelty_rewards_F__vanilla,1,500000,20000,5,512,0.99,,5000,500,500,20,0.6007528423272704,0.6007528423272704,0,0.0,176.38482269999986,78.385,2.46,0.9915162339733368,0.6280487804878049,0.5528455284552846,0.1769,0.7772,0.01545,133,1.0,11.0,10,0.9090909090909091,1.0,0,520000
novelty_rewards_F__vanilla,2,500000,20000,5,512,0.99,,5000,500,500,20,0.8551572131787206,0.8401572131787207,6,0.0003,175.29514590000008,45.645,3.2800000000000002,0.7935151714317011,0.6112804878048781,0.5579268292682927,0.577,0.3622,0.02005,1111,0.1719171917191719,10.0,10,1.0,0.7382198952879581,0,520000
novelty_rewards_F__vanilla,3,500000,20000,5,512,0.99,,5000,500,500,20,0.7799580069117805,0.5749580069117808,82,0.0041,175.0560730000002,48.275,1.6150000000000002,0.6884515794924909,0.7244582043343654,0.6656346749226006,0.5925,0.3324,0.0117,2164,0.026802218114602587,11.0,10,0.9090909090909091,0.7586206896551724,0,520000
novelty_rewards_F__vanilla,4,500000,20000,5,512,0.99,,5000,500,500,20,0.6470009438627423,0.35450094386274256,117,0.00585,174.50590639999973,52.825,0.065,0.5855182205395173,0.07692307692307693,0.07692307692307693,0.58365,0.3093,0.0001,3461,0.0017336030049118752,14.5,10,0.6896551724137931,0.16666666666666666,0,520000
novelty_rewards_T__noisy,0,500000,20000,5,512,0.99,,5000,500,500,20,0.8969642317874512,0.8944642317874512,1,5e-05,196.29562449999958,42.305,5.805,0.6799432691171257,0.6692506459948321,0.6330749354005168,0.6662,0.28765,0.03885,2703,0.09581945985941547,10.0,10,1.0,0.6756756756756757,0,520000
novelty_rewards_T__noisy,1,500000,20000,5,512,0.99,,5000,500,500,20,0.6293998589464088,0.49939985894640887,52,0.0026,187.5998415999993,61.71,1.97,0.812996272889321,0.8096446700507615,0.5761421319796954,0.4548,0.5017,0.01595,2079,0.03222703222703223,14.0,10,0.7142857142857143,0.16417910447761194,0,520000
novelty_rewards_T__noisy,2,500000,20000,5,512,0.99,,5000,500,500,20,0.8782167220815481,0.8782167220815481,0,0.0,187.22790579999946,48.825,4.695,0.8058371735791091,0.5580404685835996,0.5580404685835996,0.45665,0.39345,0.0262,949,0.17386722866174922,10.0,10,1.0,0.9757575757575757,0,520000
novelty_rewards_T__noisy,3,500000,20000,5,512,0.99,,5000,500,500,20,0.931196062672394,0.923696062672394,3,0.00015,188.37768189999952,62.480000000000004,4.45,0.6157170294494239,0.702247191011236,0.48314606741573035,0.38985,0.3847,0.03125,1468,0.13283378746594005,10.0,10,1.0,0.9230769230769231,0,520000
novelty_rewards_T__noisy,4,500000,20000,5,512,0.99,,5000,500,500,20,0.8810641948568858,0.8510641948568859,12,0.0006,189.33781120000003,46.96,6.815,0.8005749574105622,0.6456346294937637,0.05355832721936904,0.5734,0.37595,0.044,1830,0.1721311475409836,10.0,10,1.0,0.9587301587301588,0,520000
novelty_rewards_T__vanilla,0,500000,20000,5,512,0.99,,5000,500,500,20,0.623459316282226,0.40595931628222615,87,0.00435,183.03214240000034,64.47,4.175,0.7821467349154646,0.9125748502994012,0.2970059880239521,0.21905,0.50425,0.0381,745,0.0738255033557047,19.0,10,0.5263157894736842,0.0,0,520000
novelty_rewards_T__vanilla,1,500000,20000,5,512,0.99,,5000,500,500,20,0.44538185582538337,0.18038185582538357,106,0.0053,177.94221150000067,64.53999999999999,0.38999999999999996,0.5980012395413697,0.8333333333333334,0.1282051282051282,0.6052,0.38595,0.00325,5106,0.0,,10,,,0,520000
novelty_rewards_T__vanilla,2,500000,20000,5,512,0.99,,5000,500,500,20,0.33980767941669027,0.11730767941669046,89,0.00445,177.6520246,82.27499999999999,0.38999999999999996,0.926223032512914,0.9230769230769231,0.15384615384615385,0.211,0.76215,0.0037,776,0.0,,10,,,0,520000
novelty_rewards_T__vanilla,3,500000,20000,5,512,0.99,,5000,500,500,20,0.48001599582115306,0.2450159958211532,94,0.0047,178.4120094,52.654999999999994,0.485,0.7124679517614662,0.9072164948453608,0.1134020618556701,0.4832,0.37515,0.0044,2017,0.0,,10,,,0,520000
novelty_rewards_T__vanilla,4,500000,20000,5,512,0.99,,5000,500,500,20,0.5743473991551366,0.23184739915513683,137,0.00685,177.84194639999987,74.11999999999999,0.065,0.5734619535887749,0.6923076923076923,0.0,0.26235,0.42505,0.00055,477,0.0,,10,,,0,520000
