config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
buf_100k,0,500000,20000,5,512,0.99,,100000,500,500,20,0.606297184771504,0.3987971847715041,83,0.00415,208.69389960000262,89.94,0.28500000000000003,0.44941071825661555,0.7192982456140351,0.6140350877192983,0.076,0.4042,0.00215,306,0.0,,10,,,0,520000
buf_100k,1,500000,20000,5,512,0.99,,100000,500,500,20,0.648906226660604,0.648906226660604,0,0.0,213.08576339999854,74.495,2.725,0.7133364655345996,0.7522935779816514,0.5669724770642202,0.31575,0.5314,0.0205,1838,0.05059847660500544,10.0,10,1.0,1.0,0,520000
buf_100k,2,500000,20000,5,512,0.99,,100000,500,500,20,0.6160796460995147,0.34607964609951486,108,0.0054,209.45668339999975,58.285,0.06,0.47430728317748994,0.8333333333333334,0.0,0.7199,0.2765,0.0005,6103,0.0,,10,,,0,520000
buf_100k,3,500000,20000,5,512,0.99,,100000,500,500,20,0.9386419976960102,0.9386419976960102,0,0.0,210.82734950000304,60.77,3.54,0.6884153365147276,0.7853107344632768,0.6257062146892656,0.553,0.41835,0.0278,3770,0.03978779840848806,15.0,10,0.6666666666666666,0.0,0,520000
buf_100k,4,500000,20000,5,512,0.99,,100000,500,500,20,0.6490662335890626,0.6365662335890625,5,0.00025,209.6101645999952,68.985,2.93,0.8479379575269986,0.4761092150170648,0.4761092150170648,0.31545,0.58495,0.01395,1046,0.13575525812619502,10.0,10,1.0,0.9295774647887324,0,520000
buf_100k,5,500000,20000,5,512,0.99,,100000,500,500,20,0.8689854640064932,0.8689854640064932,0,0.0,208.6728226999985,62.59,2.035,0.706262981306918,0.7469287469287469,0.7469287469287469,0.46865,0.44205,0.0152,2260,0.045575221238938056,15.0,10,0.6666666666666666,0.0,0,520000
buf_100k,6,500000,20000,5,512,0.99,,100000,500,500,20,0.9394210082522484,0.9394210082522484,0,0.0,210.54739299999346,66.845,3.505,0.5523973371231955,0.7532097004279601,0.6205420827389444,0.3292,0.36925,0.0264,632,0.2674050632911392,15.0,10,0.6666666666666666,0.0,0,520000
buf_100k,7,500000,20000,5,512,0.99,,100000,500,500,20,0.8512299358662245,0.8512299358662245,0,0.0,206.96600549999857,74.3,5.705,0.830820995962315,0.49430324276950044,0.0043821209465381246,0.23845,0.6173,0.0282,770,0.17402597402597403,10.0,10,1.0,1.0,0,520000
buf_100k,8,500000,20000,5,512,0.99,,100000,500,500,20,0.757727217723925,0.737727217723925,8,0.0004,206.52423659999477,68.635,2.62,0.6145552560646901,0.8416030534351145,0.8416030534351145,0.2998,0.4218,0.02205,1107,0.06594399277326106,15.0,10,0.6666666666666666,0.0,0,520000
buf_100k,9,500000,20000,5,512,0.99,,100000,500,500,20,0.8938518654519281,0.8938518654519281,0,0.0,205.7020521999948,55.474999999999994,4.365,0.5995493465525011,0.6872852233676976,0.17869415807560138,0.62105,0.3326,0.03,4431,0.026404874746106973,15.0,10,0.6666666666666666,0.07692307692307693,0,520000
buf_50k,0,500000,20000,5,512,0.99,,50000,500,500,20,0.9322494745111931,0.9297494745111932,1,5e-05,195.14900840000337,37.845,7.425,0.7516184436517374,0.3501683501683502,0.34545454545454546,0.6802,0.28445,0.026,1879,0.1660457690260777,11.0,10,0.9090909090909091,0.7980769230769231,0,520000
