config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
double__curriculum_mode_coordinate__len_500k,0,500000,20000,5,512,0.99,,5000,500,500,20,0.6905356268477686,0.40303562684776884,115,0.00575,171.23060100000293,64.885,1.18,0.6850581798566695,0.8347457627118644,0.3177966101694915,0.38765,0.4445,0.00995,1951,0.0,,10,,,0,520000
double__curriculum_mode_disabled__len_1m,0,1000000,20000,5,512,0.99,,5000,500,500,20,0.8135043020178755,0.6485043020178757,66,0.0033,438.7242100999865,68.12,2.535,0.8319876688197299,0.7850098619329389,0.4181459566074951,0.2649,0.56675,0.0199,311,0.3279742765273312,10.0,10,1.0,1.0,0,1020000
double__curriculum_mode_disabled__len_1m,1,1000000,20000,5,512,0.99,,5000,500,500,20,0.8987577651168387,0.8587577651168389,16,0.0008,591.4661871999997,41.285,7.9750000000000005,0.6994065641274071,0.7774294670846394,0.21504702194357367,0.64525,0.28875,0.062,2457,0.13512413512413513,11.0,10,0.9090909090909091,0.713855421686747,0,1020000
double__curriculum_mode_disabled__len_1m,2,1000000,20000,5,512,0.99,,5000,500,500,20,0.9160492696013746,0.9160492696013746,0,0.0,745.3186312999896,53.339999999999996,6.444999999999999,0.7226284214473191,0.78277734678045,0.4359968968192397,0.52805,0.38545,0.05045,2404,0.09525790349417637,14.0,10,0.7142857142857143,0.013100436681222707,0,1020000
double__curriculum_mode_disabled__len_1m,3,1000000,20000,5,512,0.99,,5000,500,500,20,0.7229297923771103,0.4154297923771106,123,0.00615,692.7137098000094,46.02,4.03,0.6680790960451978,0.5285359801488834,0.3523573200992556,0.5356,0.30745,0.0213,2887,0.036716314513335645,10.0,10,1.0,0.6415094339622641,0,1020000
double__curriculum_mode_disabled__len_1m,4,1000000,20000,5,512,0.99,,5000,500,500,20,0.905398530484012,0.752898530484012,61,0.00305,847.4417095000099,64.165,4.305,0.6834722979817658,0.70267131242741,0.4332171893147503,0.3486,0.43855,0.03025,866,0.197459584295612,12.0,10,0.8333333333333334,0.3567251461988304,0,1020000
double__curriculum_mode_disabled__len_1m,5,1000000,20000,5,512,0.99,,5000,500,500,20,0.8246175663748607,0.8246175663748607,0,0.0,857.9160215999873,50.425,8.225,0.6921170054536441,0.6322188449848024,0.01641337386018237,0.5861,0.349,0.052,3089,0.06506960181288443,11.0,10,0.9090909090909091,0.7562189054726368,0,1020000
double__curriculum_mode_disabled__len_1m,6,1000000,20000,5,512,0.99,,5000,500,500,20,0.6077793349331383,0.2952793349331387,125,0.00625,394.13893250000547,62.985,0.53,0.7165991902834008,0.9150943396226415,0.19811320754716982,0.51345,0.45135,0.00485,3191,0.0,,10,,,0,1020000
double__curriculum_mode_disabled__len_1m,7,1000000,20000,5,512,0.99,,5000,500,500,20,0.8859058261879283,0.8859058261879283,0,0.0,323.5958238999883,77.67500000000001,4.09,0.9195365304151915,0.6540342298288508,0.2713936430317848,0.23505,0.71425,0.02675,803,0.18679950186799502,10.0,10,1.0,1.0,0,1020000
double__curriculum_mode_disabled__len_1m,8,1000000,20000,5,512,0.99,,5000,500,500,20,0.740794192087089,0.4807941920870891,104,0.0052,340.37530620000325,69.425,0.105,0.6187252430680591,0.8095238095238095,0.8095238095238095,0.44875,0.42955,0.00085,3283,0.0,,10,,,0,1020000
