config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
curriculum_mode_coordinate__len_1m,0,1000000,20000,5,512,0.98,,5000,500,500,20,0.5413895841482387,0.43388958414823864,86,0.0043,315.7754286999989,86.76,0.13,0.4929691101890272,0.6923076923076923,0.0,0.06005,0.4277,0.00095,274,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,1,1000000,20000,5,512,0.98,,5000,500,500,20,0.36228592375494983,0.2197859237549499,114,0.0057,311.89697609998984,77.455,0.49500000000000005,0.7610870828222839,0.898989898989899,0.6262626262626263,0.3663,0.5895,0.00445,3068,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,2,1000000,20000,5,512,0.98,,5000,500,500,20,0.3994042151512779,0.27815421515127803,97,0.00485,310.83422710000013,89.705,0.005,0.760771417423778,0.0,0.0,0.1406,0.68245,0.0,945,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,3,1000000,20000,5,512,0.98,,5000,500,500,20,0.3219359075357648,0.18068590753576488,113,0.00565,311.952598200005,58.62500000000001,0.715,0.7278464818763326,0.38461538461538464,0.27972027972027974,0.40425,0.4267,0.00285,2278,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,4,1000000,20000,5,512,0.98,,5000,500,500,20,0.5018832657069737,0.40313326570697383,79,0.00395,313.81782199999725,75.235,0.0,0.8837642054894663,,,0.21205,0.6649,0.0,1569,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,5,1000000,20000,5,512,0.98,,5000,500,500,20,0.4845070773831092,0.3820070773831093,82,0.0041,304.87340660000336,67.71000000000001,0.2,0.559001624575395,0.0,0.0,0.17485,0.3785,0.0,762,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,6,1000000,20000,5,512,0.98,,5000,500,500,20,0.43880941368060594,0.321309413680606,94,0.0047,312.4988944999932,95.795,0.0,0.5573359778694086,,,0.05915,0.5339,0.0,280,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,7,1000000,20000,5,512,0.98,,5000,500,500,20,0.5160791474474088,0.42357914744740893,74,0.0037,321.9679773000098,68.465,0.0,0.8221719126561017,,,0.334,0.5629,0.0,1569,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,8,1000000,20000,5,512,0.98,,5000,500,500,20,0.48539754035479626,0.38164754035479637,83,0.00415,315.3903105000063,86.86500000000001,0.0,0.5171818338801588,,,0.1185,0.44925,0.0,859,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_1m,9,1000000,20000,5,512,0.98,,5000,500,500,20,0.4189549160517423,0.2864549160517424,106,0.0053,313.1885137999925,78.505,0.6799999999999999,0.8291828545952488,0.5661764705882353,0.34558823529411764,0.2496,0.651,0.00395,1133,0.0,,10,,,0,1020000
curriculum_mode_coordinate__len_500k,0,500000,20000,5,512,0.98,,5000,500,500,20,0.5049449106076338,0.41369491060763375,73,0.00365,152.6495372000063,98.13499999999999,0.0,0.6059509858867886,,,0.0217,0.59465,0.0,0,,,10,,,0,520000
curriculum_mode_coordinate__len_500k,1,500000,20000,5,512,0.98,,5000,500,500,20,0.48310643147446297,0.24685643147446318,189,0.00945,152.9776290000009,73.195,0.0,0.6482683243390942,,,0.3736,0.4745,0.0,3176,0.0,,10,,,0,520000
curriculum_mode_coordinate__len_500k,2,500000,20000,5,512,0.98,,5000,500,500,20,0.5670998701633952,0.48084987016339525,69,0.00345,155.853537899995,74.22,0.005,0.4690784155214228,0.0,0.0,0.49255,0.34815,5e-05,4666,0.0,,10,,,0,520000
curriculum_mode_coordinate__len_500k,3,500000,20000,5,512,0.98,,5000,500,500,20,0.24892479850574292,0.14517479850574302,83,0.00415,166.72503210000286,97.39999999999999,0.01,0.9961498973305954,0.0,0.0,0.02745,0.97025,0.0001,12,0.0,,10,,,0,520000
curriculum_mode_coordinate__len_500k,4,500000,20000,5,512,0.98,,5000,500,500,20,0.3408785042138602,0.12087850421386037,176,0.0088,179.56386089998705,68.28,0.055,0.6183362624487405,0.36363636363636365,0.36363636363636365,0.43715,0.4222,0.00035,3670,0.0,,10,,,0,520000
