config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,0,500000,20000,20,64,0.99,0.3,500,200,500,20,0.3913538600502924,,546,0.0273,655.6561781,0.13,0.625,0.20800000000000002,-0.495,3.805,0.0,0.0,0.0,0.99585,0.0,0.0,25,0,0.0,,,122,4,0.03278688524590164,0.95,4,0.0,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,1,500000,20000,20,64,0.99,0.3,500,200,500,20,0.40013859291694265,,564,0.0282,649.8127272000002,0.255,1.15,0.22173913043478263,-0.8949999999999999,1.845,0.0,0.0,0.0,0.66475,0.0,0.0,42,1,0.023809523809523808,0.7692307692307693,0.0,164,2,0.012195121951219513,0.5818452380952381,3,0.012195121951219513,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,2,500000,20000,20,64,0.99,0.3,500,200,500,20,0.4262260078975678,,496,0.0248,673.6981329999999,0.22999999999999998,0.8250000000000001,0.27878787878787875,-0.5950000000000001,2.98,0.0,0.0,0.0,0.86075,0.0,0.0,46,6,0.13043478260869565,0.4197626418988648,0.3333333333333333,112,6,0.05357142857142857,0.7417582417582418,12,0.05357142857142857,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,3,500000,20000,20,64,0.99,0.3,500,200,500,20,0.40060331729970766,,546,0.0273,692.1164982000009,0.63,1.485,0.4242424242424242,-0.8550000000000001,2.95,0.0,0.0,0.0,0.9428,0.0,0.0,121,5,0.04132231404958678,0.6,0.0,227,3,0.013215859030837005,0.5454545454545454,8,0.013215859030837005,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,4,500000,20000,20,64,0.99,0.3,500,200,500,20,0.398377874270128,,525,0.02625,681.3018961999987,0.26,0.525,0.49523809523809526,-0.265,2.925,0.0,0.0,0.0,0.9454,0.0,0.0,49,5,0.10204081632653061,0.9166666666666666,0.6,102,11,0.10784313725490197,0.6666666666666666,16,0.10204081632653061,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,5,500000,20000,20,64,0.99,0.3,500,200,500,20,0.416509031795872,,540,0.027,680.5489097999998,0.18,0.515,0.3495145631067961,-0.335,4.335,0.0,0.0,0.0,0.98775,0.0,0.0,35,4,0.11428571428571428,0.6901960784313725,0.25,99,2,0.020202020202020204,0.4336917562724014,6,0.020202020202020204,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,6,500000,20000,20,64,0.99,0.3,500,200,500,20,0.41385102357364995,,533,0.02665,673.8593653999997,0.22,0.32,0.6875,-0.1,2.345,0.0,0.0,0.0,0.372,0.0,0.0,29,1,0.034482758620689655,0.9090909090909091,1.0,28,0,0.0,,1,0.0,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,7,500000,20000,20,64,0.99,0.3,500,200,500,20,0.41034942869845625,,521,0.02605,679.7914846000003,0.525,0.52,1.0096153846153846,0.0050000000000000044,4.385,0.0,0.0,0.0,0.9105,0.0,0.0,100,7,0.07,0.24324324324324326,0.14285714285714285,101,23,0.22772277227722773,0.9545454545454546,30,0.07,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,8,500000,20000,20,64,0.99,0.3,500,200,500,20,0.4044772422565489,,535,0.02675,680.8506275,0.35000000000000003,0.395,0.8860759493670887,-0.044999999999999984,4.335,0.0,0.0,0.0,0.75845,0.0,0.0,65,4,0.06153846153846154,0.7941176470588236,0.5,77,3,0.03896103896103896,0.7619047619047619,7,0.03896103896103896,0,520000
drqn__senses_smell-vision__midpoint_probe_T__n_step_1__buf_500__wu_200__b_64__drqn_burn_in_5__drqn_learn_len_20,9,500000,20000,20,64,0.99,0.3,500,200,500,20,0.40783412368098027,,528,0.0264,688.4525876000007,0.35500000000000004,0.48,0.7395833333333335,-0.12499999999999994,8.645,0.0,0.0,0.0,0.689,0.0,0.0,61,3,0.04918032786885246,0.9285714285714286,0.6666666666666666,87,14,0.16091954022988506,0.9,17,0.04918032786885246,0,520000
