config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
noisy__n_step_10__b_64__buf_50k,0,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.4079068092186438,,527,0.02635,159.1344179000007,0.265,0.135,1.962962962962963,0.13,6.69,0.0,0.0,0.0,0.9998,0.0,0.0,53,1,0.018867924528301886,1.0,1.0,27,0,0.0,,1,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,1,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.40721118727232125,,520,0.026,158.57592240000122,0.05,0.86,0.058139534883720936,-0.8099999999999999,14.285,0.0,0.0,0.0,0.78045,0.0,0.0,10,3,0.3,0.5714285714285714,0.0,118,0,0.0,,3,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,2,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.4090843722449578,,533,0.02665,157.97827230000075,0.375,0.4,0.9375,-0.025000000000000022,7.905,0.0,0.0,0.0,0.65475,0.0,0.0,73,0,0.0,,,76,2,0.02631578947368421,0.4806547619047619,2,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,3,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.3928077369184317,,570,0.0285,158.38612080000166,0.15,2.565,0.05847953216374269,-2.415,13.12,0.0,0.0,0.0,0.93435,0.0,0.0,29,11,0.3793103448275862,0.8461538461538461,0.45454545454545453,453,0,0.0,,11,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,4,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.40013176773489656,,542,0.0271,157.8610910999996,0.315,0.42500000000000004,0.7411764705882352,-0.11000000000000004,2.6,0.0,0.0,0.0,0.42585,0.0,0.0,41,7,0.17073170731707318,1.0,1.0,67,0,0.0,,7,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,5,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.4141599355175934,,555,0.02775,157.07532229999924,0.155,0.735,0.2108843537414966,-0.58,6.36,0.0,0.0,0.0,0.7299,0.0,0.0,21,6,0.2857142857142857,0.8461538461538461,0.3333333333333333,124,4,0.03225806451612903,1.0,10,0.03225806451612903,0,520000
noisy__n_step_10__b_64__buf_50k,6,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.405962648024613,,529,0.02645,157.8989752999987,0.17500000000000002,0.35000000000000003,0.5,-0.17500000000000002,2.97,0.0,0.0,0.0,0.53385,0.0,0.0,27,2,0.07407407407407407,0.3337041156840934,0.0,66,2,0.030303030303030304,0.7777777777777778,4,0.030303030303030304,0,520000
noisy__n_step_10__b_64__buf_50k,7,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.3958966080776271,,540,0.027,157.96257069999956,0.125,0.265,0.4716981132075471,-0.14,1.975,0.0,0.0,0.0,0.27845,0.0,0.0,24,0,0.0,,,46,7,0.15217391304347827,1.0,7,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,8,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.39829317054704183,,528,0.0264,158.20327109999926,0.105,0.61,0.1721311475409836,-0.505,2.8,0.0,0.0,0.0,0.2688,0.0,0.0,13,0,0.0,,,32,0,0.0,,0,0.0,0,520000
noisy__n_step_10__b_64__buf_50k,9,500000,20000,20,64,0.99,0.3,50000,200,500,20,0.41521630419101585,,536,0.0268,158.6989993999996,0.765,0.96,0.796875,-0.19499999999999995,10.35,0.0,0.0,0.0,0.5867,0.0,0.0,152,2,0.013157894736842105,0.825,0.5,124,13,0.10483870967741936,0.9,15,0.013157894736842105,0,520000
