config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,0,500000,20000,20,512,0.99,,50000,500,500,20,0.4204507880227573,-0.14454921197724224,226,0.0113,191.4710453000007,54.115,1.39,0.7928485632449414,0.7985611510791367,0.25539568345323743,0.42785,0.4291,0.0111,61,0.03278688524590164,29.5,,0.7195121951219512,0.5,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,1,500000,20000,20,512,0.99,,50000,500,500,20,0.46883067647283005,-0.07366932352716955,217,0.01085,192.25388920000023,52.615,2.835,0.9747220374417942,0.9294532627865961,0.19047619047619047,0.25895,0.5129,0.02635,44,0.09090909090909091,22.0,,0.8529411764705883,0.5,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,2,500000,20000,20,512,0.99,,50000,500,500,20,0.4438585969785902,0.011358596978590589,173,0.00865,192.84613549999995,64.775,1.005,0.9098417599382478,0.7064676616915423,0.6268656716417911,0.3185,0.5894,0.0071,60,0.08333333333333333,26.0,,0.5833333333333334,0.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,3,500000,20000,20,512,0.99,,50000,500,500,20,0.6292647014632368,0.344264701463237,114,0.0057,198.07462229999965,60.765,0.105,0.6754710771003044,0.38095238095238093,0.3333333333333333,0.5631,0.41045,0.0004,3681,0.0005433306166802499,16.5,,0.6875,0.5,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,4,500000,20000,20,512,0.99,,50000,500,500,20,0.512481702249157,-0.2625182977508423,310,0.0155,199.59540600000037,26.69,1.1400000000000001,0.9044585987261147,0.706140350877193,0.29385964912280704,0.71875,0.2414,0.0082,478,0.016736401673640166,28.0,,0.4473684210526316,0.125,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,5,500000,20000,20,512,0.99,,50000,500,500,20,0.6518719744708483,0.32437197447084865,131,0.00655,192.23357629999919,30.695,1.2349999999999999,0.790193842645382,0.8704453441295547,0.44129554655870445,0.71885,0.2426,0.01075,1271,0.0023603461841070024,11.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,6,500000,20000,20,512,0.99,,50000,500,500,20,0.5161613045070433,0.20116130450704364,126,0.0063,198.51403730000038,59.93000000000001,1.115,0.866093776072084,0.8834080717488789,0.08968609865470852,0.35245,0.5191,0.00985,578,0.0,,,,,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,7,500000,20000,20,512,0.99,,50000,500,500,20,0.4048447255969207,-0.21265527440307877,247,0.01235,196.97695400000066,46.615,2.835,0.9943151346133219,0.8271604938271605,0.1710758377425044,0.4217,0.46355,0.02345,36,0.2777777777777778,43.0,,0.4150432900432901,0.1,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,8,500000,20000,20,512,0.99,,50000,500,500,20,0.6249387428955633,0.27743874289556353,139,0.00695,195.74137190000056,47.63,0.485,0.6364686122191896,0.6804123711340206,0.09278350515463918,0.5268,0.30325,0.0033,1849,0.001081665765278529,13.0,,0.3611111111111111,0.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,9,500000,20000,20,512,0.99,,50000,500,500,20,0.8615271659669228,0.751527165966923,44,0.0022,193.4349244999994,39.615,7.425,0.6274138583869746,0.7461279461279461,0.3138047138047138,0.6875,0.24855,0.0554,2950,0.11254237288135593,5.0,,1.0,0.7801204819277109,0,520000
