config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
senses_smell-vision__midpoint_probe_T,0,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.40390687750896254,,519,0.02595,217.41977389999965,0.19,0.45999999999999996,0.4130434782608696,-0.26999999999999996,0.94,0.0,0.0,0.0,0.4546,0.0,0.0,17,5,0.29411764705882354,0.9,0.8,68,0,0.0,,5,0.0,0,520000
senses_smell-vision__midpoint_probe_T,1,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39877694192679297,,562,0.0281,214.0205565999995,0.365,0.47000000000000003,0.776595744680851,-0.10500000000000004,2.34,0.0,0.0,0.0,0.98275,0.0,0.0,70,1,0.014285714285714285,0.55,0.0,84,7,0.08333333333333333,0.6111111111111112,8,0.014285714285714285,0,520000
senses_smell-vision__midpoint_probe_T,2,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3933666201151996,,552,0.0276,211.70795279999948,0.2,0.5349999999999999,0.3738317757009347,-0.3349999999999999,0.71,0.0,0.0,0.0,0.926,0.0,0.0,37,1,0.02702702702702703,0.8333333333333334,0.0,101,0,0.0,,1,0.0,0,520000
senses_smell-vision__midpoint_probe_T,3,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4175846260445097,,521,0.02605,212.3712131000002,0.395,0.79,0.5,-0.395,8.9,0.0,0.0,0.0,0.84045,0.0,0.0,77,2,0.025974025974025976,0.39141414141414144,0.0,132,2,0.015151515151515152,0.8583333333333334,4,0.015151515151515152,0,520000
senses_smell-vision__midpoint_probe_T,4,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.408947529444685,,534,0.0267,212.42306569999982,0.17500000000000002,0.7100000000000001,0.24647887323943662,-0.535,1.01,0.0,0.0,0.0,0.725,0.0,0.0,33,3,0.09090909090909091,0.5555555555555556,0.3333333333333333,90,3,0.03333333333333333,0.7142857142857143,6,0.03333333333333333,0,520000
senses_smell-vision__midpoint_probe_T,5,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3847436667447261,,536,0.0268,210.86080530000072,0.12,0.48,0.25,-0.36,2.705,0.0,0.0,0.0,0.87795,0.0,0.0,23,4,0.17391304347826086,1.0,0.75,90,0,0.0,,4,0.0,0,520000
senses_smell-vision__midpoint_probe_T,6,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39584629709086067,,564,0.0282,213.64339909999944,0.67,0.44999999999999996,1.4888888888888892,0.22000000000000008,2.63,0.0,0.0,0.0,0.8106,0.0,0.0,133,0,0.0,,,83,2,0.024096385542168676,0.5202020202020202,2,0.0,0,520000
senses_smell-vision__midpoint_probe_T,7,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42544951370858536,,524,0.0262,213.29846720000023,0.5,0.635,0.7874015748031495,-0.135,1.16,0.0,0.0,0.0,0.7829,0.0,0.0,79,0,0.0,,,110,7,0.06363636363636363,0.5238095238095238,7,0.0,0,520000
senses_smell-vision__midpoint_probe_T,8,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4081669685900476,,534,0.0267,212.53210370000033,0.105,0.64,0.1640625,-0.535,5.26,0.0,0.0,0.0,0.92325,0.0,0.0,21,3,0.14285714285714285,0.6296296296296297,0.3333333333333333,113,0,0.0,,3,0.0,0,520000
senses_smell-vision__midpoint_probe_T,9,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4148344053687468,,532,0.0266,212.97968420000052,0.695,1.125,0.6177777777777778,-0.43000000000000005,5.2,0.0,0.0,0.0,0.723,0.0,0.0,131,4,0.030534351145038167,0.8156565656565656,0.5,107,11,0.102803738317757,0.6428571428571429,15,0.030534351145038167,0,520000
