config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
senses_,0,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.38708881585988736,,528,0.0264,197.40332660000058,0.265,0.8099999999999999,0.32716049382716056,-0.5449999999999999,0.65,0.0,0.0,0.0,0.6414,0.0,0.0,39,1,0.02564102564102564,0.4782608695652174,0.0,103,1,0.009708737864077669,0.6111111111111112,2,0.009708737864077669,0,520000
senses_,1,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.395428918454904,,535,0.02675,204.85274670000035,0.315,1.05,0.3,-0.7350000000000001,2.165,0.0,0.0,0.0,0.4634,0.0,0.0,29,1,0.034482758620689655,1.0,1.0,76,2,0.02631578947368421,0.65625,3,0.02631578947368421,0,520000
senses_,2,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.41114425342829347,,513,0.02565,197.25909629999842,0.255,0.79,0.3227848101265823,-0.535,1.145,0.0,0.0,0.0,0.39445,0.0,0.0,27,0,0.0,,,51,0,0.0,,0,0.0,0,520000
senses_,3,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39493369684927265,,552,0.0276,193.9635092999997,0.45999999999999996,1.855,0.24797843665768193,-1.395,2.23,0.0,0.0,0.0,0.77895,0.0,0.0,83,15,0.18072289156626506,0.6428571428571429,0.13333333333333333,197,2,0.01015228426395939,0.6666666666666666,17,0.01015228426395939,0,520000
senses_,4,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4165554918384041,,524,0.0262,192.26926749999984,0.22499999999999998,0.6799999999999999,0.33088235294117646,-0.45499999999999996,1.745,0.0,0.0,0.0,0.8613,0.0,0.0,43,5,0.11627906976744186,0.5416666666666666,0.2,131,6,0.04580152671755725,0.66890756302521,11,0.04580152671755725,0,520000
senses_,5,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3917548544530335,,524,0.0262,193.19957539999996,0.095,0.415,0.22891566265060243,-0.31999999999999995,1.955,0.0,0.0,0.0,0.94255,0.0,0.0,17,0,0.0,,,78,1,0.01282051282051282,0.4782608695652174,1,0.0,0,520000
senses_,6,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3910233538061836,,557,0.02785,187.05950529999973,0.315,0.5700000000000001,0.5526315789473684,-0.25500000000000006,7.115,0.0,0.0,0.0,0.85495,0.0,0.0,53,4,0.07547169811320754,1.0,1.0,80,2,0.025,0.575657894736842,6,0.025,0,520000
senses_,7,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.40886735345680375,,550,0.0275,182.03049029999966,0.37,0.47000000000000003,0.7872340425531914,-0.10000000000000003,1.12,0.0,0.0,0.0,0.70865,0.0,0.0,51,3,0.058823529411764705,0.9166666666666666,0.6666666666666666,79,5,0.06329113924050633,1.0,8,0.058823529411764705,0,520000
senses_,8,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39774041059318244,,535,0.02675,189.04565960000036,0.25,0.64,0.390625,-0.39,3.445,0.0,0.0,0.0,0.86625,0.0,0.0,37,1,0.02702702702702703,0.5555555555555556,0.0,106,3,0.02830188679245283,1.0,4,0.02702702702702703,0,520000
senses_,9,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39053155058944056,,560,0.028,196.54526670000087,0.48,0.88,0.5454545454545454,-0.4,1.315,0.0,0.0,0.0,0.8434,0.0,0.0,92,8,0.08695652173913043,0.7552447552447552,0.25,138,13,0.09420289855072464,0.5625,21,0.08695652173913043,0,520000
