config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,trip_count,trip_success_rate,median_success_trip_moves,shortest_dist,path_efficiency,perfectish_trip_rate,non_neighbor_jumps,total_ticks
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,0,500000,20000,20,512,0.99,,50000,500,500,20,0.989808399984292,0.989808399984292,0,0.0,189.72991919999913,93.805,5.975,0.5242257875379778,0.26359832635983266,0.2518828451882845,0.48505,0.49175,0.01575,914,0.962800875273523,1.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,1,500000,20000,20,512,0.99,,50000,500,500,20,0.9975337175365605,0.9975337175365605,0,0.0,187.8448475999976,99.97500000000001,99.95,0.2514628657164291,0.10990495247623812,0.0,0.00025,0.2514,0.10985,1,1.0,5.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,2,500000,20000,20,512,0.99,,50000,500,500,20,0.8692611014208075,0.7417611014208076,51,0.00255,188.7447850000026,78.485,9.905,0.738102822195324,0.3311458859162039,0.0646138313982837,0.1057,0.57935,0.03285,241,0.7800829875518672,1.0,,1.0,0.9787234042553191,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,3,500000,20000,20,512,0.99,,50000,500,500,20,0.8339344014844863,0.8314344014844862,1,5e-05,188.06893429999764,99.715,99.675,0.3682996540139397,0.08673187860546777,0.08673187860546777,0.00125,0.36725,0.08645,1,1.0,6.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,4,500000,20000,20,512,0.99,,50000,500,500,20,0.9721876021735805,0.9721876021735805,0,0.0,201.85413400000107,59.199999999999996,6.575,0.751097972972973,0.20076045627376427,0.19771863117870722,0.48675,0.44465,0.0132,2430,0.27983539094650206,4.0,,0.5,0.23823529411764705,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,5,500000,20000,20,512,0.99,,50000,500,500,20,0.9499054623212035,0.9499054623212035,0,0.0,201.16454080000403,78.73,21.27,0.5778610440746856,0.33521391631405734,0.005641748942172073,0.03055,0.45495,0.0713,305,1.0,1.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,6,500000,20000,20,512,0.99,,50000,500,500,20,0.9551018745797741,0.9551018745797741,0,0.0,188.34070049999718,71.825,14.585,0.9447963800904977,0.2063764141241001,0.13541309564621187,0.27095,0.6786,0.0301,503,1.0,2.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,7,500000,20000,20,512,0.99,,50000,500,500,20,0.8478177823372939,0.8478177823372939,0,0.0,188.80368720000115,42.25,14.6,0.9281656804733728,0.511986301369863,0.31952054794520546,0.51735,0.39215,0.07475,606,0.9603960396039604,1.0,,1.0,1.0,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,8,500000,20000,20,512,0.99,,50000,500,500,20,0.9742206582565154,0.9742206582565154,0,0.0,189.22882989999925,48.285,10.195,0.5662213938076007,0.5502697400686611,0.11672388425698872,0.6688,0.2734,0.0561,4066,0.2016724053123463,3.0,,0.8,0.7280487804878049,0,520000
noisy__beta_0p1__novelty_rewards_T__e_30__buf_50k__n_step_10__over_0p02__under_0p5,9,500000,20000,20,512,0.99,,50000,500,500,20,0.9545880831076167,0.9545880831076167,0,0.0,189.71564429999853,95.485,2.79,0.9543383777556684,0.503584229390681,0.5017921146953405,0.03015,0.91125,0.01405,145,0.9655172413793104,2.0,,1.0,1.0,0,520000
