config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
senses_,0,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4375658736975159,,294,0.0147,194.01069440000356,42.765,0.86,49.72674418604651,41.905,13.37,0.8972290424412487,0.7151162790697675,0.5058139534883721,0.427,0.38375,0.0062,32,1,0.03125,0.8,0.0,38,1,0.02631578947368421,1.0,2,0.02631578947368421,0,520000
senses_,1,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4176547571154155,,318,0.0159,190.69638999999734,38.690000000000005,1.21,31.975206611570254,37.480000000000004,10.84,0.9324114758335488,0.6074380165289256,0.2975206611570248,0.47125,0.36075,0.00735,24,2,0.08333333333333333,1.0,1.0,62,2,0.03225806451612903,0.9375,4,0.03225806451612903,0,520000
senses_,2,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.45576458950535764,,246,0.0123,190.3978653999984,47.699999999999996,2.1,22.71428571428571,45.599999999999994,24.69,0.960796645702306,0.6357142857142857,0.15714285714285714,0.4713,0.45835,0.0134,37,15,0.40540540540540543,1.0,1.0,114,5,0.043859649122807015,0.5416666666666666,20,0.043859649122807015,0,520000
senses_,3,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44426738294660956,,299,0.01495,190.24591679999867,38.71,1.755,22.05698005698006,36.955,10.325,0.9451046241281322,0.7321937321937322,0.3732193732193732,0.5867,0.3659,0.01285,44,9,0.20454545454545456,0.5333333333333333,0.0,84,1,0.011904761904761904,0.45,10,0.011904761904761904,0,520000
senses_,4,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4494235806584464,,352,0.0176,190.38758020000023,28.265,1.35,20.937037037037037,26.915,11.405,0.9816026888377852,0.7407407407407407,0.18518518518518517,0.58255,0.2775,0.01,25,1,0.04,0.23255813953488372,0.0,48,5,0.10416666666666667,1.0,6,0.04,0,520000
senses_,5,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.6209089465433013,,178,0.0089,190.27208149999933,57.985,0.8049999999999999,72.03105590062113,57.18,57.295,0.8828145209968096,0.8260869565217391,0.7329192546583851,0.41725,0.51195,0.00675,1051,3,0.0028544243577545195,0.8846153846153846,0.3333333333333333,25,4,0.16,0.6783536585365854,7,0.0028544243577545195,0,520000
senses_,6,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.372063011693329,,363,0.01815,190.2823191000025,30.915,2.79,11.080645161290322,28.125,13.17,0.9726669901342391,0.5985663082437276,0.24193548387096775,0.43095,0.30075,0.01685,27,4,0.14814814814814814,0.5,0.25,41,3,0.07317073170731707,0.9,7,0.07317073170731707,0,520000
senses_,7,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4831919538412845,,330,0.0165,190.50969689999692,34.65,3.7699999999999996,9.190981432360743,30.88,18.28,0.9933621933621933,0.8474801061007957,0.23342175066312998,0.57615,0.34425,0.03195,36,13,0.3611111111111111,1.0,0.5384615384615384,101,2,0.019801980198019802,0.28115501519756836,15,0.019801980198019802,0,520000
senses_,8,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.577618235423903,,152,0.0076,190.44490600000063,45.385,0.475,95.54736842105264,44.91,39.865,0.8951195328853145,0.6526315789473685,0.4842105263157895,0.54515,0.40625,0.0031,860,6,0.0069767441860465115,0.575,0.0,25,13,0.52,0.7142857142857143,19,0.0069767441860465115,0,520000
senses_,9,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4103605026007528,,213,0.01065,190.2230629000005,69.0,1.175,58.723404255319146,67.825,29.215,0.921231884057971,0.6212765957446809,0.13191489361702127,0.27335,0.63565,0.0073,12,0,0.0,,,53,8,0.1509433962264151,0.7007389162561577,8,0.0,0,520000
senses_,10,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4829292643264536,,276,0.0138,191.00632540000151,40.35,3.6799999999999997,10.96467391304348,36.67,14.2,0.9924411400247831,0.8654891304347826,0.125,0.55975,0.4005,0.03205,60,20,0.3333333333333333,0.6020833333333333,0.3,88,9,0.10227272727272728,0.7142857142857143,29,0.10227272727272728,0,520000
senses_,11,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4221996347339808,,255,0.01275,190.75664929999766,49.155,1.0699999999999998,45.939252336448604,48.085,25.415,0.925033058691893,0.7429906542056075,0.17757009345794392,0.4549,0.4547,0.008,39,4,0.10256410256410256,0.2539745627980922,0.0,36,1,0.027777777777777776,0.7272727272727273,5,0.027777777777777776,0,520000
senses_,12,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.41894217261890043,,338,0.0169,191.11442479999823,33.75,1.225,27.551020408163264,32.525,10.145,0.9774814814814815,0.7959183673469388,0.2693877551020408,0.452,0.3299,0.00985,34,2,0.058823529411764705,0.5638888888888889,0.0,42,1,0.023809523809523808,0.5294117647058824,3,0.023809523809523808,0,520000
senses_,13,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42260559369000056,,233,0.01165,190.54894189999686,58.45,1.52,38.453947368421055,56.93,15.455,0.9654405474764757,0.743421052631579,0.34210526315789475,0.32215,0.56445,0.01135,7,0,0.0,,,67,6,0.08955223880597014,0.9090909090909091,6,0.0,0,520000
senses_,14,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39628323883145333,,460,0.023,186.2511816999977,12.205,0.83,14.704819277108435,11.375,4.525,0.6210569438754608,0.5783132530120482,0.40963855421686746,0.11705,0.07585,0.0048,10,0,0.0,,,7,0,0.0,,0,0.0,0,520000
senses_,15,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.41337596520587205,,382,0.0191,191.1329930000029,27.060000000000002,2.69,10.059479553903346,24.37,7.32,0.9813377679231338,0.7602230483271375,0.03345724907063197,0.44705,0.26555,0.02065,35,0,0.0,,,100,6,0.06,0.8888888888888888,6,0.0,0,520000
senses_,16,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4812365047211218,,242,0.0121,190.25255470000047,46.755,1.6049999999999998,29.130841121495333,45.150000000000006,12.01,0.9564752432894877,0.7009345794392523,0.2834890965732087,0.4636,0.44725,0.0113,100,11,0.11,0.75,0.2727272727272727,72,13,0.18055555555555555,0.5384615384615384,24,0.11,0,520000
senses_,17,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.5613970512816342,,121,0.00605,190.02792690000206,46.735,0.42500000000000004,109.96470588235293,46.31,39.34,0.8870225740879426,0.6,0.17647058823529413,0.33835,0.4146,0.0026,982,1,0.0010183299389002036,0.7777777777777778,0.0,26,4,0.15384615384615385,0.7584033613445378,5,0.0010183299389002036,0,520000
senses_,18,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44250789105477645,,315,0.01575,190.40247270000327,37.0,2.2849999999999997,16.192560175054705,34.715,9.655,0.9797297297297297,0.7592997811816192,0.17943107221006566,0.5921,0.36255,0.0175,33,5,0.15151515151515152,1.0,0.8,93,3,0.03225806451612903,0.9473684210526315,8,0.03225806451612903,0,520000
senses_,19,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.6387922131250687,,123,0.00615,190.45603630000187,72.76,0.27999999999999997,259.8571428571429,72.48,72.59,0.9152006597031336,0.8392857142857143,0.44642857142857145,0.25205,0.6659,0.0024,189,1,0.005291005291005291,1.0,1.0,8,3,0.375,0.6774193548387096,4,0.005291005291005291,0,520000
senses_,20,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.438201247613762,,158,0.0079,190.88049150000006,63.785000000000004,6.155,10.363119415109667,57.63,55.645,0.9937289331347495,0.8830219333874898,0.6133225020308692,0.27915,0.6339,0.05435,29,25,0.8620689655172413,1.0,0.68,124,13,0.10483870967741936,0.8333333333333334,38,0.10483870967741936,0,520000
senses_,21,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4053965149391873,,371,0.01855,190.75749310000174,33.11,3.1550000000000002,10.494453248811409,29.955,9.455,0.8977650256720024,0.7781299524564184,0.24247226624405704,0.415,0.2974,0.0247,14,0,0.0,,,69,1,0.014492753623188406,1.0,1,0.0,0,520000
senses_,22,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.40009055048130915,,342,0.0171,190.53062259999933,35.985,2.34,15.37820512820513,33.644999999999996,13.515,0.9902737251632625,0.8568376068376068,0.31196581196581197,0.47595,0.3564,0.0201,44,3,0.06818181818181818,0.42105263157894735,0.3333333333333333,38,1,0.02631578947368421,0.5625,4,0.02631578947368421,0,520000
senses_,23,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.43713052621288634,,346,0.0173,191.45916800000123,31.874999999999996,3.29,9.688449848024314,28.584999999999997,7.85,0.8814117647058823,0.6960486322188449,0.3191489361702128,0.4848,0.281,0.02295,39,4,0.10256410256410256,0.7,0.25,93,4,0.043010752688172046,1.0,8,0.043010752688172046,0,520000
senses_,24,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42152497987852094,,276,0.0138,191.23162270000103,41.19,1.39,29.633093525179856,39.8,15.15,0.9722019907744598,0.6942446043165468,0.31654676258992803,0.33065,0.40045,0.00965,39,2,0.05128205128205128,0.7791666666666667,0.5,36,4,0.1111111111111111,0.6,6,0.05128205128205128,0,520000
senses_,25,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.6136713278487305,,96,0.0048,190.53452780000225,57.145,0.47000000000000003,121.58510638297872,56.675000000000004,57.09,0.6492256540379736,0.851063829787234,0.48936170212765956,0.50075,0.371,0.00405,2596,1,0.0003852080123266564,1.0,1.0,13,8,0.6153846153846154,0.8402597402597403,9,0.0003852080123266564,0,520000
senses_,26,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4421979902960289,,244,0.0122,190.58178869999756,49.72,1.21,41.09090909090909,48.51,20.255,0.9361423974255833,0.5702479338842975,0.23140495867768596,0.3806,0.46545,0.00705,43,1,0.023255813953488372,0.4666666666666667,0.0,65,6,0.09230769230769231,0.7142857142857142,7,0.023255813953488372,0,520000
senses_,27,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.47983241574004604,,307,0.01535,190.64925610000137,32.59,2.82,11.556737588652485,29.770000000000003,16.06,0.9946302546793495,0.5833333333333334,0.11170212765957446,0.60635,0.3242,0.0165,32,11,0.34375,0.4090909090909091,0.09090909090909091,188,3,0.015957446808510637,0.55,14,0.015957446808510637,0,520000
senses_,28,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4338955956487931,,398,0.0199,190.11518989999968,25.27,1.7999999999999998,14.03888888888889,23.47,8.395,0.9867431737237832,0.6972222222222222,0.1527777777777778,0.48895,0.2494,0.0127,54,3,0.05555555555555555,0.9,0.6666666666666666,47,0,0.0,,3,0.0,0,520000
senses_,29,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4154133526725599,,361,0.01805,190.70832370000062,29.759999999999998,1.58,18.83544303797468,28.18,16.38,0.9949596774193549,0.7784810126582279,0.5221518987341772,0.55925,0.29625,0.0124,21,1,0.047619047619047616,0.5294117647058824,0.0,53,3,0.05660377358490566,1.0,4,0.047619047619047616,0,520000
senses_smell,0,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4180658150249024,,364,0.0182,206.8950592000001,30.785,2.0650000000000004,14.907990314769973,28.72,21.585,0.9928536624979698,0.8692493946731235,0.11138014527845036,0.4076,0.3057,0.0184,24,1,0.041666666666666664,0.64,0.0,29,3,0.10344827586206896,0.625,4,0.041666666666666664,0,520000
senses_smell,1,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4097404904574181,,274,0.0137,196.55838750000112,48.585,1.175,41.34893617021277,47.410000000000004,11.365,0.9445302047957188,0.7617021276595745,0.5617021276595745,0.38115,0.459,0.009,36,7,0.19444444444444445,0.5384615384615384,0.2857142857142857,46,3,0.06521739130434782,0.5714285714285714,10,0.06521739130434782,0,520000
senses_smell,2,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3883439998461822,,385,0.01925,199.18804029999956,30.830000000000002,4.875,6.3241025641025645,25.955000000000002,15.125,0.931560168666883,0.8471794871794872,0.48,0.40305,0.2872,0.0413,21,2,0.09523809523809523,0.8516483516483516,0.0,47,0,0.0,,2,0.0,0,520000
senses_smell,3,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4418532664158006,,282,0.0141,198.4332618999979,40.550000000000004,1.18,34.364406779661024,39.370000000000005,29.845,0.9303329223181258,0.8347457627118644,0.3728813559322034,0.3874,0.37735,0.00995,87,0,0.0,,,22,0,0.0,,0,0.0,0,520000
senses_smell,4,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42260702490408486,,370,0.0185,199.45107550000102,32.645,1.5,21.763333333333335,31.145000000000003,9.72,0.9561954357482003,0.7933333333333333,0.28,0.65175,0.3123,0.012,27,1,0.037037037037037035,0.24390243902439024,0.0,58,4,0.06896551724137931,0.2384417808219178,5,0.037037037037037035,0,520000
senses_smell,5,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.6161320492110893,,133,0.00665,199.7222686999994,37.305,0.385,96.8961038961039,36.92,34.955,0.6543358799088594,0.5584415584415584,0.2857142857142857,0.5879,0.24415,0.00215,1869,5,0.002675227394328518,1.0,1.0,33,6,0.18181818181818182,0.890818858560794,11,0.002675227394328518,0,520000
senses_smell,6,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.3714586809730935,,203,0.01015,198.90219730000172,54.325,2.1950000000000003,24.749430523917994,52.13,20.535,0.9695352047860101,0.7380410022779044,0.20273348519362186,0.40805,0.52685,0.01625,35,9,0.2571428571428571,0.45,0.0,95,5,0.05263157894736842,0.9,14,0.05263157894736842,0,520000
senses_smell,7,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42986873180408086,,347,0.01735,199.36998889999813,31.53,3.335,9.454272863568216,28.195,11.35,0.9800190294957184,0.8320839580209896,0.1679160419790105,0.51605,0.30925,0.0279,46,8,0.17391304347826086,0.5294117647058824,0.0,89,2,0.02247191011235955,1.0,10,0.02247191011235955,0,520000
senses_smell,8,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44693415558536564,,299,0.01495,200.11301599999933,41.68,2.495,16.705410821643287,39.185,18.95,0.8590451055662188,0.8877755511022044,0.10220440881763528,0.39345,0.35815,0.02215,36,2,0.05555555555555555,0.6361607142857143,0.5,38,3,0.07894736842105263,1.0,5,0.05555555555555555,0,520000
senses_smell,9,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.37346024176007164,,375,0.01875,199.47920650000015,28.349999999999998,1.5650000000000002,18.11501597444089,26.784999999999997,10.99,0.9400352733686067,0.7827476038338658,0.022364217252396165,0.4642,0.2666,0.01245,34,2,0.058823529411764705,0.9166666666666667,0.5,62,1,0.016129032258064516,0.7647058823529411,3,0.016129032258064516,0,520000
senses_smell,10,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.44025921009119867,,231,0.01155,199.65411479999966,52.415,1.555,33.70739549839228,50.86,15.45,0.9841648383096442,0.6302250803858521,0.3762057877813505,0.41145,0.51595,0.0098,55,6,0.10909090909090909,0.5085470085470085,0.16666666666666666,89,6,0.06741573033707865,0.625,12,0.06741573033707865,0,520000
senses_smell,11,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.42690642362567977,,268,0.0134,198.69237830000202,46.82,1.955,23.948849104859335,44.865,28.12,0.9731952157197779,0.8465473145780051,0.7237851662404092,0.44785,0.45565,0.01665,66,7,0.10606060606060606,0.875,0.5714285714285714,42,1,0.023809523809523808,1.0,8,0.023809523809523808,0,520000
senses_smell,12,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.421953881243244,,219,0.01095,193.31118620000052,58.160000000000004,0.855,68.0233918128655,57.30500000000001,30.175,0.7592847317744154,0.6842105263157895,0.43859649122807015,0.3372,0.44165,0.006,37,4,0.10810810810810811,0.5828460038986355,0.0,45,1,0.022222222222222223,0.41818181818181815,5,0.022222222222222223,0,520000
senses_smell,13,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.37144531115669105,,345,0.01725,194.51053039999897,36.49,1.7999999999999998,20.272222222222226,34.690000000000005,9.825,0.8155659084680734,0.6972222222222222,0.23333333333333334,0.33875,0.2976,0.01265,15,3,0.2,0.7368421052631579,0.3333333333333333,58,3,0.05172413793103448,0.8,6,0.05172413793103448,0,520000
senses_smell,14,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4229435789054276,,290,0.0145,192.91238279999743,41.404999999999994,0.715,57.90909090909091,40.68999999999999,17.26,0.9907016060862215,0.7552447552447552,0.43356643356643354,0.5649,0.41025,0.0054,29,0,0.0,,,26,3,0.11538461538461539,0.75,3,0.0,0,520000
senses_smell,15,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.45232439219720766,,303,0.01515,193.94187740000052,40.345,1.7999999999999998,22.41388888888889,38.545,11.995,0.9548890816705912,0.5416666666666666,0.33055555555555555,0.5455,0.38525,0.0098,49,8,0.16326530612244897,0.6493212669683258,0.375,111,1,0.009009009009009009,0.4782608695652174,9,0.009009009009009009,0,520000
senses_smell,16,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4512170429035818,,197,0.00985,194.31662710000091,59.055,1.4749999999999999,40.03728813559322,57.58,25.92,0.9899246465159597,0.8271186440677966,0.16271186440677965,0.3808,0.5846,0.01225,68,11,0.16176470588235295,0.4090909090909091,0.0,40,2,0.05,0.49780058651026393,13,0.05,0,520000
senses_smell,17,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.6772135051450751,,182,0.0091,201.66131609999866,35.665,0.7100000000000001,50.23239436619718,34.955,33.435,0.7399411187438666,0.7746478873239436,0.24647887323943662,0.5083,0.2639,0.00555,1633,0,0.0,,,28,6,0.21428571428571427,0.6725806451612903,6,0.0,0,520000
senses_smell,18,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4195129456278873,,272,0.0136,195.537436300001,47.48,1.8450000000000002,25.734417344173437,45.635,20.92,0.948715248525695,0.8238482384823849,0.5772357723577236,0.4417,0.4505,0.01535,26,8,0.3076923076923077,1.0,0.75,46,2,0.043478260869565216,0.5980392156862745,10,0.043478260869565216,0,520000
senses_smell,19,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.670101184587038,,141,0.00705,194.60689260000072,65.51,0.32,204.71875,65.19000000000001,63.445,0.9312318729964891,0.859375,0.21875,0.3214,0.6101,0.00275,744,2,0.002688172043010753,0.9259259259259259,0.5,7,2,0.2857142857142857,0.9666666666666667,4,0.002688172043010753,0,520000
senses_smell,20,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.4654265589839948,,297,0.01485,192.4841684000021,37.32,3.01,12.398671096345517,34.31,17.365,0.9954448017148981,0.8189368770764119,0.0664451827242525,0.3848,0.37155,0.02475,32,21,0.65625,1.0,0.5238095238095238,96,3,0.03125,0.6363636363636364,24,0.03125,0,520000
senses_smell,21,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.430401127239975,,282,0.0141,193.21827459999622,44.07,2.04,21.602941176470587,42.03,25.265,0.9868391195824824,0.821078431372549,0.7254901960784313,0.53085,0.4349,0.0169,64,4,0.0625,0.540625,0.0,64,6,0.09375,0.5630630630630631,10,0.0625,0,520000
senses_smell,22,500000,20000,20,512,0.99,0.3,50000,500,500,20,0.39086261020879093,,397,0.01985,192.5849670000025,22.1,2.1399999999999997,10.32710280373832,19.96,10.095,0.9018099547511312,0.794392523364486,0.0911214953271028,0.55495,0.19935,0.01705,26,2,0.07692307692307693,0.8666666666666667,0.5,75,2,0.02666666666666667,0.5424592391304348,4,0.02666666666666667,0,520000
