config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
noisy__terminals_per_map_1,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49266573906194133,,143,0.00715,619.8553783000002,0.38,0.1,3.8,0.28,3.36,0.34210526315789475,0.0,0.0,0.71305,0.1538,0.0131,31,1,0.03225806451612903,0.21428571428571427,0.0,18,2,0.1111111111111111,0.4894736842105263,3,0.03225806451612903,0,1020000
noisy__terminals_per_map_1,1,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5979062866102929,,114,0.0057,616.3437524999999,0.6799999999999999,0.105,6.476190476190476,0.575,2.065,0.33088235294117646,0.0,0.0,0.70235,0.25405,0.01195,88,0,0.0,,,18,0,0.0,,0,0.0,0,1020000
noisy__terminals_per_map_1,2,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49142514721058994,,169,0.00845,619.0208212000002,0.03,0.18,0.16666666666666666,-0.15,3.61,0.0,0.0,0.0,0.2509,0.33995,0.0063,5,0,0.0,,,16,0,0.0,,0,0.0,0,1020000
noisy__terminals_per_map_1,3,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5375806237112766,,157,0.00785,618.7677357000002,0.08,0.125,0.64,-0.045,4.285,0.0,0.0,0.0,0.5081,0.42885,0.0156,16,0,0.0,,,25,0,0.0,,0,0.0,0,1020000
noisy__terminals_per_map_1,4,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5568263794710072,,157,0.00785,617.4770347000003,1.745,0.44999999999999996,3.877777777777778,1.2950000000000002,3.8,0.501432664756447,0.2111111111111111,0.03333333333333333,0.26825,0.3172,0.035,22,2,0.09090909090909091,0.5637254901960784,0.0,33,1,0.030303030303030304,1.0,3,0.030303030303030304,2,1020000
noisy__terminals_per_map_1,5,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.44105964614418425,,174,0.0087,623.2927473999998,0.18,0.645,0.27906976744186046,-0.465,2.73,0.5833333333333334,0.0,0.0,0.42235,0.2341,0.01595,14,2,0.14285714285714285,0.7333333333333333,0.0,52,0,0.0,,2,0.0,0,1020000
noisy__terminals_per_map_1,6,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.602202831361381,,149,0.00745,614.0380406000004,1.335,4.545,0.29372937293729373,-3.21,4.275,0.5767790262172284,0.009900990099009901,0.0011001100110011,0.708,0.2051,0.0154,112,3,0.026785714285714284,0.5,0.0,407,2,0.004914004914004914,0.5386178861788617,5,0.004914004914004914,0,1020000
noisy__terminals_per_map_1,7,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6552727944779997,,92,0.0046,627.4457258000002,0.485,0.625,0.776,-0.14,3.49,0.12371134020618557,0.0,0.0,0.56315,0.2498,0.01325,73,1,0.0136986301369863,0.6666666666666666,0.0,85,3,0.03529411764705882,0.19607843137254902,4,0.0136986301369863,4,1020000
noisy_drqn__terminals_per_map_1,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4122868212495335,,210,0.0105,6722.0642366,0.815,0.395,2.0632911392405062,0.41999999999999993,6.405,0.656441717791411,0.0,0.0,0.4063,0.38365,0.0486,15,2,0.13333333333333333,0.7142857142857143,0.5,76,2,0.02631578947368421,0.7777777777777778,4,0.02631578947368421,2,1020000
noisy_drqn__terminals_per_map_1,1,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4266896121327038,,243,0.01215,6794.7245545,2.105,0.22,9.568181818181818,1.885,4.46,0.9311163895486936,0.0,0.0,0.58345,0.31215,0.01025,29,2,0.06896551724137931,0.4411764705882353,0.0,43,1,0.023255813953488372,0.75,3,0.023255813953488372,0,1020000
noisy_drqn__terminals_per_map_1,2,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.46537822177684485,,160,0.008,6897.4628727,0.7250000000000001,1.4000000000000001,0.5178571428571429,-0.675,4.79,0.9379310344827586,0.0,0.0,0.4499,0.50425,0.01175,8,2,0.25,0.7151702786377709,0.0,85,1,0.011764705882352941,1.0,3,0.011764705882352941,2,1020000
noisy_drqn__terminals_per_map_1,3,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4382190641402156,,193,0.00965,6791.4869367,0.045,0.415,0.10843373493975904,-0.37,4.655,0.0,0.0,0.0,0.58005,0.38865,0.0208,9,2,0.2222222222222222,0.7142857142857143,0.0,68,1,0.014705882352941176,0.9285714285714286,3,0.014705882352941176,2,1020000
