config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
sil_frac_0,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6026558756754407,,149,0.00745,673.1175717000006,62.46,1.095,4.73469387755102,0.9149999999999999,2.955,0.6515369836695485,0.6164383561643836,0.1552511415525114,0.3553,0.40695,0.0068,581,0,0.0,,,38,3,0.07894736842105263,0.39473684210526316,3,0.0,0,1020000
sil_frac_0,1,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5651754465827784,,146,0.0073,683.7908002000004,53.21,1.98,1.5000000000000002,0.08500000000000002,5.21,0.611257282465702,0.4065656565656566,0.09343434343434344,0.3393,0.32525,0.0081,704,2,0.002840909090909091,0.49684873949579833,0.0,176,4,0.022727272727272728,0.7380952380952381,6,0.002840909090909091,2,1020000
sil_frac_0,2,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6336599920430257,,105,0.00525,664.1097606999992,41.33,1.74,31.586206896551726,4.4350000000000005,4.55,0.5890394386644084,0.8103448275862069,0.1235632183908046,0.57865,0.2435,0.0141,2411,4,0.0016590626296142678,0.7008928571428572,0.0,34,7,0.20588235294117646,0.5882352941176471,11,0.0016590626296142678,3,1020000
sil_frac_0,3,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5819839825743393,,119,0.00595,673.7181719,58.36,1.715,0.7145299145299144,-0.8350000000000004,3.35,0.44482522275531183,0.7842565597667639,0.15160349854227406,0.3074,0.25965,0.01345,698,1,0.0014326647564469914,0.39285714285714285,0.0,44,2,0.045454545454545456,0.6753155680224404,3,0.0014326647564469914,0,1020000
sil_frac_0,4,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5549229606973256,,125,0.00625,670.1723724999993,51.055,1.735,7.242105263157895,2.965,3.2,0.6942512976202135,0.7348703170028819,0.2968299711815562,0.44945,0.35455,0.0128,1066,2,0.001876172607879925,0.6979405034324943,0.0,49,2,0.04081632653061224,0.9444444444444444,4,0.001876172607879925,0,1020000
sil_frac_0,5,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5969084020854191,,111,0.00555,679.0317391999997,46.08,1.145,8.370370370370368,0.9949999999999999,2.465,0.6832682291666666,0.6724890829694323,0.1965065502183406,0.53875,0.31485,0.0077,2566,4,0.001558846453624318,0.8090909090909091,0.25,40,8,0.2,0.9,12,0.001558846453624318,0,1020000
sil_frac_0,6,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5254031255668704,,188,0.0094,683.2161281999997,25.3,2.335,0.10723192019950126,-1.7899999999999998,2.04,0.5932806324110672,0.9271948608137045,0.14989293361884368,0.47015,0.1501,0.0217,1638,1,0.0006105006105006105,0.30303030303030304,0.0,8,2,0.25,0.8755980861244019,3,0.0006105006105006105,0,1020000
sil_frac_0,7,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5542995878249168,,172,0.0086,675.5210080999996,37.87,4.65,0.050699300699300696,-2.715,3.74,0.6432532347504621,0.8483870967741935,0.2129032258064516,0.49145,0.2436,0.03965,1774,9,0.005073280721533258,0.6333333333333333,0.1111111111111111,41,2,0.04878048780487805,0.47916666666666663,11,0.005073280721533258,1,1020000
sil_frac_0,8,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.46255972642642135,,165,0.00825,676.9568361000001,52.13,2.18,1.8823529411764708,0.15000000000000002,5.62,0.6939382313447151,0.75,0.48394495412844035,0.4557,0.36185,0.01635,1892,0,0.0,,,36,3,0.08333333333333333,0.6923076923076923,3,0.0,0,1020000
sil_frac_0,9,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.42302544932120617,,145,0.00725,683.7102892000003,59.79,1.865,10.03846153846154,1.1750000000000003,7.46,0.46604783408596756,0.6300268096514745,0.10455764075067024,0.362,0.27865,0.01175,555,0,0.0,,,108,4,0.037037037037037035,0.8321678321678322,4,0.0,1,1020000
sil_frac_0,10,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5635201505471686,,177,0.00885,676.146745,41.045,2.025,0.13523131672597866,-1.215,2.815,0.7363868924351322,0.5654320987654321,0.43703703703703706,0.47485,0.30225,0.01155,1042,1,0.0009596928982725527,0.7692307692307693,0.0,107,3,0.028037383177570093,0.3103448275862069,4,0.0009596928982725527,0,1020000
sil_frac_0,11,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5337104599360373,,113,0.00565,687.1834009000004,65.03,2.075,0.6012658227848101,-1.2600000000000002,3.285,0.6198677533446102,0.7734939759036145,0.344578313253012,0.27115,0.4031,0.01615,712,1,0.0014044943820224719,0.7142857142857143,0.0,39,4,0.10256410256410256,0.46739130434782605,5,0.0014044943820224719,0,1020000
sil_frac_0,12,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5249418641473057,,143,0.00715,675.5414280999994,38.965,3.8,0.01815823605706874,-3.785,3.635,0.5977158988836135,0.5578947368421052,0.1736842105263158,0.55885,0.2329,0.02125,2489,11,0.0044194455604660505,0.5789473684210527,0.2727272727272727,71,11,0.15492957746478872,0.75,22,0.0044194455604660505,1,1020000
sil_frac_0,13,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5405477733690174,,157,0.00785,684.5537482999998,33.455,5.905,3.1702127659574466,0.51,2.43,0.6698550291436257,0.6536833192209992,0.05334462320067739,0.384,0.2241,0.0386,1900,4,0.002105263157894737,0.7774725274725275,0.0,37,1,0.02702702702702703,1.0,5,0.002105263157894737,0,1020000
sil_frac_0,14,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49192703532081034,,184,0.0092,682.4199083999993,44.885,1.69,0.8461538461538461,-0.07,3.99,0.5841595187701905,0.6775147928994083,0.21301775147928995,0.39315,0.2622,0.01145,220,0,0.0,,,66,2,0.030303030303030304,0.72,2,0.0,0,1020000
sil_frac_0,15,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49080839958335365,,162,0.0081,685.7917015000003,44.095,2.725,2.3064516129032255,0.40499999999999997,3.15,0.7495180859507881,0.5926605504587156,0.3339449541284404,0.26565,0.3305,0.0162,520,0,0.0,,,34,1,0.029411764705882353,0.4166666666666667,1,0.0,0,1020000
sil_frac_0,16,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6007583216009146,,133,0.00665,668.6950957999989,48.86,1.25,10.515151515151516,1.57,3.72,0.44474007367990176,0.476,0.28,0.40335,0.2173,0.00595,178,7,0.03932584269662921,0.5238095238095238,0.14285714285714285,95,3,0.031578947368421054,1.0,10,0.031578947368421054,1,1020000
sil_frac_0,17,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5958639309116306,,174,0.0087,671.3619385000011,46.635,2.065,14.199999999999998,2.31,3.46,0.4639219470354884,0.7554479418886199,0.612590799031477,0.53975,0.21635,0.01565,1766,0,0.0,,,23,4,0.17391304347826086,0.5323886639676113,4,0.0,0,1020000
sil_frac_0,18,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5927950926462234,,153,0.00765,666.0636125000001,43.53,3.115,2.666666666666667,0.6500000000000001,3.615,0.42304158051918217,0.6998394863563403,0.10593900481540931,0.3951,0.18415,0.02185,1366,9,0.006588579795021962,0.42857142857142855,0.0,38,4,0.10526315789473684,0.8229665071770335,13,0.006588579795021962,0,1020000
sil_frac_0,19,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.528744266327821,,141,0.00705,670.2883141000011,39.295,2.56,1.8034682080924853,0.6949999999999998,2.52,0.42639012597022524,0.6640625,0.384765625,0.57875,0.16755,0.017,1986,5,0.0025176233635448137,0.5555555555555556,0.0,61,6,0.09836065573770492,0.5141176470588236,11,0.0025176233635448137,0,1020000
sil_frac_0,20,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5702461564164579,,138,0.0069,670.7959673000005,44.025,3.03,9.3125,1.9949999999999999,3.645,0.667915956842703,0.4801980198019802,0.16666666666666666,0.37895,0.29405,0.01465,714,7,0.00980392156862745,0.9,0.5714285714285714,91,6,0.06593406593406594,0.6388888888888888,13,0.00980392156862745,0,1020000
sil_frac_0,21,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49330844926214357,,140,0.007,674.6742161999991,39.78,5.53,0.11793611793611793,-1.7950000000000002,3.685,0.7977626948215184,0.9376130198915009,0.593128390596745,0.40975,0.31735,0.05195,561,6,0.0106951871657754,0.6111111111111112,0.0,24,3,0.125,0.6428571428571429,9,0.0106951871657754,1,1020000
sil_frac_0,22,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6325688746059537,,187,0.00935,676.8229926999993,35.735,3.745,0.2808988764044944,-0.32,2.395,0.7037918007555618,0.48998664886515353,0.2336448598130841,0.5683,0.2515,0.01835,1777,2,0.0011254924029262803,0.5572755417956656,0.0,191,4,0.020942408376963352,0.6833333333333333,6,0.0011254924029262803,0,1020000
sil_frac_0,23,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5445196449368769,,123,0.00615,680.0262195999985,46.67,1.37,24.952380952380953,2.515,3.615,0.66991643454039,0.7116788321167883,0.21897810218978103,0.55665,0.31265,0.00975,2910,0,0.0,,,30,1,0.03333333333333333,0.47368421052631576,1,0.0,0,1020000
sil_frac_0p25,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5108690604383395,,116,0.0058,681.6535915999993,59.315,2.265,7.098039215686274,1.5550000000000002,4.495,0.5923459495911658,0.6291390728476821,0.2229580573951435,0.3153,0.35135,0.01425,178,4,0.02247191011235955,0.8377192982456141,0.0,101,6,0.0594059405940594,0.40007541478129716,10,0.02247191011235955,2,1020000
