config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
ez_zeta_0,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49266573906194133,,143,0.00715,660.5411520999996,43.455,2.79,3.8,0.28,3.36,0.35392935220342886,0.46774193548387094,0.22759856630824374,0.71305,0.1538,0.0131,4805,0,0.0,,,107,2,0.018691588785046728,0.7647058823529411,2,0.0,0,1020000
ez_zeta_0,1,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5979062866102929,,114,0.0057,659.4829871000002,38.675,1.615,6.476190476190476,0.575,2.065,0.6568842921784098,0.739938080495356,0.2786377708978328,0.70235,0.25405,0.01195,2164,1,0.0004621072088724584,0.5625,0.0,61,2,0.03278688524590164,0.7086206896551724,3,0.0004621072088724584,0,1020000
ez_zeta_0,2,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.49142514721058994,,169,0.00845,660.8568647999991,50.91,0.92,0.16666666666666666,-0.15,3.61,0.6677470045177765,0.6793478260869565,0.5434782608695652,0.2509,0.33995,0.0063,421,0,0.0,,,13,4,0.3076923076923077,1.0,4,0.0,0,1020000
ez_zeta_0,3,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5375806237112766,,157,0.00785,666.1973665999994,53.17,1.875,0.64,-0.045,4.285,0.8065638517961257,0.832,0.23466666666666666,0.5081,0.42885,0.0156,1960,3,0.001530612244897959,0.6,0.0,38,5,0.13157894736842105,0.5625,8,0.001530612244897959,0,1020000
ez_zeta_0,4,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5568263794710072,,157,0.00785,648.2579721000002,44.605,3.855,3.877777777777778,1.2950000000000002,3.8,0.7109068490079588,0.9053177691309987,0.19974059662775617,0.26825,0.3172,0.035,417,5,0.011990407673860911,0.9,0.6,12,7,0.5833333333333334,0.8095238095238095,12,0.011990407673860911,2,1020000
ez_zeta_0,5,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.44105964614418425,,174,0.0087,652.1392856000002,39.72,2.5,0.27906976744186046,-0.465,2.73,0.5893756294058409,0.636,0.368,0.42235,0.2341,0.01595,1671,0,0.0,,,81,2,0.024691358024691357,0.6535087719298246,2,0.0,0,1020000
ez_zeta_0,6,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.602202831361381,,149,0.00745,642.4576424999996,33.25,2.56,0.29372937293729373,-3.21,4.275,0.6168421052631579,0.599609375,0.1015625,0.708,0.2051,0.0154,2504,0,0.0,,,94,7,0.07446808510638298,0.6,7,0.0,0,1020000
ez_zeta_0,7,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6552727944779997,,92,0.0046,658.3445562999996,50.815,1.675,0.776,-0.14,3.49,0.49158712978451247,0.7910447761194029,0.13134328358208955,0.56315,0.2498,0.01325,3078,2,0.000649772579597141,0.7897435897435897,0.0,50,4,0.08,0.3789855072463768,6,0.000649772579597141,4,1020000
ez_zeta_0,8,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4774012284558058,,214,0.0107,628.8034338999996,37.95,3.33,7.125,0.735,3.67,0.4849802371541502,0.6396396396396397,0.1111111111111111,0.27135,0.18405,0.0213,558,4,0.007168458781362007,0.7142857142857143,0.0,13,0,0.0,,4,0.0,0,1020000
ez_zeta_0,9,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6409465192812919,,143,0.00715,640.2888041999995,30.955,1.51,0.17647058823529407,-0.9800000000000002,2.095,0.38475205944112423,0.7682119205298014,0.3675496688741722,0.8221,0.1191,0.0116,3761,7,0.0018612071257644244,0.4074074074074074,0.0,43,3,0.06976744186046512,0.7692307692307693,10,0.0018612071257644244,0,1020000
