config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
terminals_per_map_1,0,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4805827470379176,,251,0.01255,769.574215800003,0.135,0.685,0.19708029197080293,-0.55,2.49,0.0,0.0,0.0,0.32795,0.4561,0.01115,16,1,0.0625,0.8181818181818182,0.0,66,2,0.030303030303030304,0.6211538461538462,3,0.030303030303030304,0,1020000
terminals_per_map_1,1,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5207013581113012,,306,0.0153,780.9015933999981,0.20500000000000002,0.22999999999999998,0.8913043478260871,-0.024999999999999967,1.825,0.0,0.0,0.0,0.56145,0.1584,0.0414,16,0,0.0,,,31,1,0.03225806451612903,0.5294117647058824,1,0.0,0,1020000
terminals_per_map_1,2,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5931675854524523,,188,0.0094,784.0760040000023,0.095,0.215,0.4418604651162791,-0.12,2.72,0.0,0.0,0.0,0.50175,0.2258,0.01285,17,2,0.11764705882352941,1.0,1.0,31,2,0.06451612903225806,0.8,4,0.06451612903225806,0,1020000
terminals_per_map_1,3,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.4500242230457094,,314,0.0157,767.4455459000019,0.38999999999999996,0.49500000000000005,0.7878787878787877,-0.1050000000000001,3.48,0.0,0.08080808080808081,0.06060606060606061,0.33,0.3301,0.01085,37,1,0.02702702702702703,1.0,1.0,43,0,0.0,,1,0.0,0,1020000
terminals_per_map_1,4,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.6035957448311652,,221,0.01105,781.8454666000034,0.855,1.505,0.5681063122923589,-0.6499999999999999,2.05,0.0,0.0,0.0,0.72445,0.16225,0.00955,168,0,0.0,,,175,1,0.005714285714285714,0.5172413793103449,1,0.0,0,1020000
terminals_per_map_1,5,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5790111328262731,,191,0.00955,757.6991950999982,0.06,1.21,0.049586776859504134,-1.15,2.98,0.0,0.0,0.0,0.74045,0.20375,0.0112,12,1,0.08333333333333333,0.47619047619047616,0.0,199,1,0.005025125628140704,1.0,2,0.005025125628140704,0,1020000
terminals_per_map_1,6,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5026787539739543,,205,0.01025,767.0973363000012,1.805,0.605,2.9834710743801653,1.2,3.835,0.5983379501385041,0.09090909090909091,0.08264462809917356,0.462,0.39335,0.0184,93,2,0.021505376344086023,0.7032085561497327,0.0,87,3,0.034482758620689655,0.8,5,0.021505376344086023,0,1020000
terminals_per_map_1,7,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5364926378841542,,210,0.0105,764.5755433000013,1.5650000000000002,0.2,7.825,1.3650000000000002,2.925,0.36421725239616615,0.075,0.025,0.5238,0.3224,0.01285,174,0,0.0,,,26,1,0.038461538461538464,1.0,1,0.0,0,1020000
terminals_per_map_1,8,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5521963829169033,,234,0.0117,765.1173251,0.485,0.375,1.2933333333333332,0.10999999999999999,2.115,0.26804123711340205,0.29333333333333333,0.17333333333333334,0.65545,0.23495,0.0205,61,1,0.01639344262295082,0.8947368421052632,0.0,45,1,0.022222222222222223,0.39285714285714285,2,0.01639344262295082,0,1020000
terminals_per_map_1,9,1000000,20000,20,512,0.99,0.3,50000,500,500,20,0.5757078777753739,,244,0.0122,785.6432104999985,2.35,0.42500000000000004,5.529411764705882,1.925,2.215,0.5212765957446809,0.0,0.0,0.5597,0.2779,0.0088,195,1,0.005128205128205128,0.6666666666666666,0.0,61,1,0.01639344262295082,1.0,2,0.005128205128205128,0,1020000
