config,seed,sim_len,eval_len,radius,batch_size,gamma,epsilon_start,buffer,warmup,update_ticks,learn_every,mean_comfort,mean_reward,eval_deaths,death_rate_eval,run_time_seconds,water_visit_pct,food_visit_pct,water_food_visit_ratio,water_camp_score,dominant_cell_pct,drink_rate_at_water,eat_rate_at_food,full_eat_rate_at_food,move_rate_eval,drink_rate_eval,eat_rate_eval,water_to_food_trip_count,water_to_food_success_count,water_to_food_success_rate,water_to_food_path_efficiency,water_to_food_perfectish_trip_rate,food_to_water_trip_count,food_to_water_success_count,food_to_water_success_rate,food_to_water_path_efficiency,total_successful_resource_trips,two_way_route_success_min,non_neighbor_jumps,total_ticks
beta_floor_0,0,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5630621117112864,,194,0.0097,713.1899946000012,1.095,3.175,0.34488188976377954,-2.08,3.145,0.867579908675799,0.0,0.0,0.3906,0.5109,0.0033,25,1,0.04,0.2571428571428571,0.0,92,1,0.010869565217391304,1.0,2,0.010869565217391304,0,1020000
beta_floor_0,1,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.4542882467839274,,210,0.0105,724.6796016000008,0.40499999999999997,0.305,1.3278688524590163,0.09999999999999998,2.335,0.24691358024691357,0.0,0.0,0.45045,0.38395,0.03955,60,4,0.06666666666666667,1.0,1.0,61,1,0.01639344262295082,1.0,5,0.01639344262295082,0,1020000
beta_floor_0,2,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5577178826138076,,246,0.0123,718.9089402999998,0.88,0.13,6.769230769230769,0.75,3.185,0.7613636363636364,0.0,0.0,0.4291,0.44235,0.0152,39,1,0.02564102564102564,0.8636363636363636,0.0,24,1,0.041666666666666664,0.8947368421052632,2,0.02564102564102564,0,1020000
beta_floor_0,3,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5219542770528739,,387,0.01935,702.1299543000005,0.315,0.445,0.7078651685393258,-0.13,4.495,0.0,0.0,0.0,0.4883,0.0792,0.0065,15,0,0.0,,,46,2,0.043478260869565216,1.0,2,0.0,0,1020000
beta_floor_0,4,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5020036730966553,,235,0.01175,704.4877952999996,2.23,2.335,0.9550321199143469,-0.10499999999999998,2.755,0.695067264573991,0.014989293361884369,0.014989293361884369,0.5165,0.34985,0.01465,90,1,0.011111111111111112,0.8125,0.0,113,2,0.017699115044247787,0.6736842105263158,3,0.011111111111111112,0,1020000
beta_floor_0,5,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5472144272566011,,220,0.011,714.9675105999995,0.885,0.645,1.372093023255814,0.24,2.785,0.8192090395480226,0.0,0.0,0.3949,0.39975,0.0213,18,1,0.05555555555555555,1.0,1.0,66,0,0.0,,1,0.0,0,1020000
beta_floor_0,6,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5195528503762722,,237,0.01185,717.2406561999996,0.33,0.51,0.6470588235294118,-0.18,2.21,0.4090909090909091,0.0,0.0,0.54695,0.2869,0.01335,36,0,0.0,,,72,0,0.0,,0,0.0,0,1020000
beta_floor_0,7,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.48900207157199677,,231,0.01155,708.2800463000003,0.59,5.225,0.11291866028708133,-4.635,4.955,0.5,0.0,0.0,0.55495,0.31825,0.00955,57,0,0.0,,,292,1,0.003424657534246575,1.0,1,0.0,0,1020000
beta_floor_0,8,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.568173599019321,,189,0.00945,712.4678146000006,1.35,0.865,1.5606936416184973,0.4850000000000001,3.755,0.6259259259259259,0.0,0.0,0.53365,0.31965,0.016,83,1,0.012048192771084338,1.0,1.0,58,0,0.0,,1,0.0,0,1020000
beta_floor_0,9,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.610234790304291,,167,0.00835,714.6192776000007,0.21,0.4,0.5249999999999999,-0.19000000000000003,2.81,0.7380952380952381,0.0,0.0,0.4053,0.5628,0.0053,10,0,0.0,,,79,0,0.0,,0,0.0,0,1020000
beta_floor_0,10,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.6018201310394959,,310,0.0155,725.6815741999999,0.295,0.27499999999999997,1.0727272727272728,0.020000000000000018,2.3,0.06779661016949153,0.07272727272727272,0.07272727272727272,0.6934,0.12355,0.0266,19,2,0.10526315789473684,0.8571428571428572,0.5,51,3,0.058823529411764705,0.6,5,0.058823529411764705,0,1020000
beta_floor_0,11,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.4634342337284221,,190,0.0095,696.7968330000003,0.20500000000000002,0.25,0.8200000000000001,-0.044999999999999984,3.27,0.0,0.0,0.0,0.43055,0.386,0.0229,37,0,0.0,,,45,0,0.0,,0,0.0,0,1020000
beta_floor_0p02,0,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.517135233474638,,190,0.0095,715.4613093999997,2.965,0.13999999999999999,21.17857142857143,2.8249999999999997,3.275,0.8279932546374368,0.0,0.0,0.2737,0.5103,0.0125,5,0,0.0,,,14,1,0.07142857142857142,1.0,1,0.0,0,1020000
beta_floor_0p02,1,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.4824567730834202,,385,0.01925,722.3935086000001,0.08,0.16999999999999998,0.4705882352941177,-0.08999999999999998,2.79,0.0,0.0,0.0,0.2737,0.16285,0.02075,6,0,0.0,,,11,0,0.0,,0,0.0,0,1020000
beta_floor_0p02,2,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.535786321367889,,267,0.01335,726.2435814,0.03,0.08,0.375,-0.05,4.97,0.0,0.0,0.0,0.49705,0.45125,0.00985,6,0,0.0,,,16,0,0.0,,0,0.0,0,1020000
beta_floor_0p02,3,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5280024952305239,,242,0.0121,722.4957709999999,2.995,0.61,4.909836065573771,2.3850000000000002,2.345,0.674457429048414,0.0,0.0,0.6306,0.3302,0.0068,182,0,0.0,,,119,0,0.0,,0,0.0,0,1020000
beta_floor_0p02,4,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5203478185794812,,211,0.01055,723.9442887000005,0.35500000000000004,0.08499999999999999,4.176470588235295,0.27,5.43,0.6197183098591549,0.0,0.0,0.58695,0.3291,0.0352,24,1,0.041666666666666664,0.6923076923076923,0.0,17,0,0.0,,1,0.0,0,1020000
beta_floor_0p02,5,1000000,20000,20,64,0.99,0.3,50000,200,500,20,0.5567160342899957,,296,0.0148,715.1708662000001,0.5700000000000001,0.3,1.9000000000000004,0.2700000000000001,2.545,0.6491228070175439,0.0,0.0,0.50995,0.1919,0.00645,35,0,0.0,,,36,1,0.027777777777777776,0.5,1,0.0,0,1020000
